bot_a,bot_b,einstiege_a,mit_b_im_titel,median_versatz_tage,median_versatz_bis_30_tage,anteil_bis_3_tage_pct,n[-30 bis < -20],n[-20 bis < -10],n[-10 bis < -3],n[-3 bis < 0],n[0 bis < 3],n[3 bis < 10],n[10 bis < 20],n[20 bis < 30],n[< -30],n[>= 30]
elliott_wave,t3_supertrend,130,130,2.5,2.0,21.5,7,12,12,3,15,24,3,17,16,21
elliott_wave,rsi2_crypto,119,119,-5.0,-3.5,12.6,5,6,10,13,1,2,3,2,41,36
elliott_wave,turtle_soup_crypto,128,128,-1.0,-1.0,53.1,2,11,26,39,28,6,8,2,3,3
elliott_wave,volatility_breakout_crypto,111,111,18.0,13.0,0.9,2,1,0,1,0,2,8,1,44,52
t3_supertrend,elliott_wave,644,644,-29.0,-3.0,4.3,23,17,19,24,2,15,17,14,319,194
t3_supertrend,rsi2_crypto,600,600,-3.5,-3.0,5.5,26,27,78,13,9,46,45,34,169,153
t3_supertrend,turtle_soup_crypto,637,637,-3.0,-3.0,24.2,29,73,149,121,23,82,100,33,15,12
t3_supertrend,volatility_breakout_crypto,589,589,3.0,2.0,8.1,26,45,8,13,30,36,49,24,168,190
rsi2_crypto,elliott_wave,392,392,-11.0,4.0,3.8,7,11,1,1,10,15,11,12,179,145
rsi2_crypto,t3_supertrend,392,392,2.0,-1.0,8.4,33,51,56,21,2,84,41,30,34,40
rsi2_crypto,turtle_soup_crypto,392,392,1.0,1.0,50.5,8,33,26,28,153,71,39,15,12,7
rsi2_crypto,volatility_breakout_crypto,391,391,-14.0,-8.0,1.5,35,25,27,0,1,19,20,18,145,101
turtle_soup_crypto,elliott_wave,1414,1356,-14.0,2.0,5.7,57,40,17,18,55,65,63,43,590,408
turtle_soup_crypto,t3_supertrend,1414,1356,3.0,3.0,11.3,99,161,156,33,44,273,153,111,164,162
turtle_soup_crypto,rsi2_crypto,1343,1285,-2.0,-2.0,17.2,46,64,89,147,78,24,38,25,374,400
turtle_soup_crypto,volatility_breakout_crypto,1314,1289,6.0,-4.0,1.2,68,93,54,1,7,57,68,68,392,481
volatility_breakout_crypto,elliott_wave,206,205,-41.0,-14.5,0.5,4,9,2,0,0,1,2,2,114,71
volatility_breakout_crypto,t3_supertrend,207,206,-2.0,-2.0,23.2,10,25,36,22,26,8,26,8,23,22
volatility_breakout_crypto,rsi2_crypto,206,205,9.0,7.0,2.9,7,9,15,6,0,21,20,17,48,62
volatility_breakout_crypto,turtle_soup_crypto,207,207,-4.0,-3.0,7.7,13,39,48,15,0,35,37,13,4,3
elliott_wave_stocks,rsi2_mean_reversion,395,395,-37.0,-14.0,0.0,21,36,15,0,0,1,3,7,213,99
elliott_wave_stocks,turtle_soup_stocks,395,395,-7.0,-7.0,14.7,32,84,85,45,8,26,33,16,32,34
elliott_wave_stocks,volatility_breakout,395,395,20.0,15.0,0.0,5,2,1,0,0,2,10,12,175,188
rsi2_mean_reversion,elliott_wave_stocks,4146,3553,88.0,14.0,0.0,9,9,1,0,0,12,36,25,1509,1952
rsi2_mean_reversion,turtle_soup_stocks,4232,4232,1.0,0.0,36.0,206,289,410,474,918,598,246,269,381,441
rsi2_mean_reversion,volatility_breakout,4232,4232,-16.0,-8.0,0.3,134,132,63,1,6,46,84,114,1937,1715
turtle_soup_stocks,elliott_wave_stocks,8755,7543,30.0,7.0,0.7,53,52,25,13,30,91,114,91,3301,3773
turtle_soup_stocks,rsi2_mean_reversion,8915,8915,-1.0,-1.0,17.1,466,410,482,703,713,447,328,358,2674,2334
turtle_soup_stocks,volatility_breakout,8915,8915,-5.0,5.0,0.6,239,269,92,13,27,194,269,236,3864,3712
volatility_breakout,elliott_wave_stocks,1425,1241,47.0,-14.5,0.0,9,13,3,0,0,0,3,6,576,631
volatility_breakout,rsi2_mean_reversion,1454,1454,12.5,8.0,0.8,79,81,43,11,0,54,117,119,431,519
volatility_breakout,turtle_soup_stocks,1454,1454,-7.0,-6.0,3.6,140,223,209,36,10,86,172,142,224,212
