time,symbol,pnl_pct,allocation,capital_after
2021-10-22,NEARUSDT,24.99,1000.0,10249.9
2021-10-22,BNBUSDT,7.6,1000.0,10325.9
2021-10-22,LINKUSDT,16.01,1000.0,10486.0
2021-10-22,ZECUSDT,41.57,1000.0,10901.7
2021-10-22,ADAUSDT,1.49,1000.0,10916.6
2021-10-22,SOLUSDT,28.57,1000.0,11202.3
2021-10-22,AAVEUSDT,8.93,1000.0,11291.6
2021-10-27,XRPUSDT,-7.35,1000.0,11218.1
2021-11-06,DOGEUSDT,9.75,1121.81,11327.48
2021-11-07,BTCUSDT,4.15,1121.81,11374.03
2021-11-15,UNIUSDT,-3.03,1137.4,11339.57
2021-11-16,DOGEUSDT,-8.25,1137.4,11245.73
2021-11-16,AAVEUSDT,-5.87,1137.4,11178.97
2021-11-17,BTCUSDT,-2.77,1117.9,11148.0
2021-11-17,SOLUSDT,-2.69,1117.9,11117.93
2021-11-18,ETHUSDT,-5.53,1111.79,11056.45
2021-11-18,ZECUSDT,-4.25,1111.79,11009.2
2021-11-18,BNBUSDT,-4.5,1111.79,10959.17
2021-11-23,BTCUSDT,-4.52,1095.92,10909.63
2021-11-24,ADAUSDT,-5.06,1095.92,10854.18
2021-11-24,TRXUSDT,-6.08,1095.92,10787.55
2021-11-24,DOGEUSDT,-6.21,1090.96,10719.8
2021-11-26,XRPUSDT,-2.8,1071.98,10689.78
2021-11-28,SOLUSDT,-5.35,1068.98,10632.59
2021-12-03,AAVEUSDT,-8.81,1063.26,10538.92
2021-12-03,BTCUSDT,-7.32,1063.26,10461.09
2021-12-04,ETHUSDT,-3.47,1068.98,10423.99
2021-12-04,ADAUSDT,-11.47,1063.26,10302.04
2021-12-04,NEARUSDT,-10.61,1063.26,10189.23
2021-12-04,UNIUSDT,-8.5,1063.26,10098.85
2021-12-04,XRPUSDT,-9.2,1063.26,10001.03
2021-12-04,TRXUSDT,-6.4,1063.26,9932.98
2021-12-10,SOLUSDT,-16.08,993.3,9773.26
2021-12-13,SOLUSDT,-6.59,977.33,9708.85
2021-12-14,BNBUSDT,-7.42,993.3,9635.15
2021-12-23,AAVEUSDT,51.83,970.89,10138.36
2021-12-25,ETHUSDT,1.58,963.51,10153.58
2021-12-25,BNBUSDT,0.86,963.51,10161.87
2021-12-25,ZECUSDT,5.97,963.51,10219.39
2021-12-27,BTCUSDT,9.61,963.51,10311.98
2021-12-27,ADAUSDT,24.17,963.51,10544.87
2021-12-27,UNIUSDT,27.42,963.51,10809.06
2021-12-29,ZECUSDT,-1.17,1080.91,10796.42
2021-12-31,SOLUSDT,-2.82,1079.64,10765.97
2022-01-04,XRPUSDT,-4.66,1079.64,10715.66
2022-01-04,BNBUSDT,-1.36,1076.6,10701.02
2022-01-04,BTCUSDT,-1.47,1076.6,10685.19
2022-01-04,SOLUSDT,-2.39,1076.6,10659.46
2022-01-05,ETHUSDT,-3.65,1079.64,10620.05
2022-01-06,UNIUSDT,-4.98,1062.01,10567.17
2022-01-07,BTCUSDT,-1.81,1056.72,10548.04
2022-01-07,AAVEUSDT,-3.33,1056.72,10512.85
2022-01-08,ADAUSDT,-7.64,1056.72,10432.12
2022-01-10,ETHUSDT,-2.93,1043.21,10401.55
2022-01-10,BTCUSDT,-3.13,1043.21,10368.9
2022-01-10,SOLUSDT,-6.73,1043.21,10298.69
2022-01-10,DOGEUSDT,-4.14,1043.21,10255.5
2022-01-19,NEARUSDT,19.61,1043.21,10460.07
2022-01-20,AAVEUSDT,-1.05,1025.55,10449.31
2022-01-20,XRPUSDT,-3.0,1025.55,10418.54
2022-01-20,BNBUSDT,3.35,1025.55,10452.9
2022-01-22,DOGEUSDT,-1.71,1045.29,10435.02
2022-01-24,ETHUSDT,-4.95,1043.5,10383.37
2022-02-03,NEARUSDT,1.94,1038.34,10403.51
2022-02-03,LINKUSDT,4.32,1038.34,10448.37
2022-02-03,BTCUSDT,1.48,1038.34,10463.74
2022-02-03,ZECUSDT,6.59,1038.34,10532.16
2022-02-03,SOLUSDT,10.4,1038.34,10640.15
2022-02-03,AAVEUSDT,0.03,1038.34,10640.46
2022-02-03,UNIUSDT,-2.83,1038.34,10611.08
2022-02-03,TRXUSDT,8.33,1038.34,10697.57
2022-02-13,NEARUSDT,-3.94,1069.76,10655.42
2022-02-13,SOLUSDT,-3.59,1069.76,10617.02
2022-02-17,ADAUSDT,-3.26,1061.7,10582.4
2022-02-18,SOLUSDT,-6.16,1061.7,10517.0
2022-02-18,LINKUSDT,-4.7,1061.7,10467.1
2022-02-18,UNIUSDT,-5.11,1061.7,10412.85
2022-02-18,ZECUSDT,-1.97,1058.24,10392.0
2022-02-18,AAVEUSDT,-2.0,1058.24,10370.84
2022-02-19,NEARUSDT,-5.16,1061.7,10316.06
2022-02-20,TRXUSDT,-0.99,1058.24,10305.58
2022-02-20,DOGEUSDT,-2.18,1037.08,10282.97
2022-02-20,ETHUSDT,-2.8,1031.61,10254.09
2022-02-20,ZECUSDT,-4.94,1031.61,10203.12
2022-02-20,ADAUSDT,-2.61,1031.61,10176.2
2022-02-20,LINKUSDT,-4.62,1031.61,10128.54
2022-02-20,AAVEUSDT,-3.99,1031.61,10087.38
2022-02-20,SOLUSDT,-3.23,1031.61,10054.06
2022-02-24,NEARUSDT,-8.78,1005.41,9965.78
2022-02-24,ETHUSDT,-5.47,1005.41,9910.79
2022-02-24,ADAUSDT,-8.75,1005.41,9822.81
2022-02-24,BNBUSDT,-7.14,1005.41,9751.03
2022-02-24,UNIUSDT,-8.54,1005.41,9665.17
2022-02-24,TRXUSDT,-5.97,1005.41,9605.14
2022-02-24,SOLUSDT,-6.46,1005.41,9540.19
2022-02-24,AAVEUSDT,-6.91,1005.41,9470.72
2022-03-07,TRXUSDT,-1.71,947.07,9454.53
2022-03-17,AAVEUSDT,32.92,945.45,9765.77
2022-03-24,BNBUSDT,10.63,945.45,9866.27
2022-03-24,ADAUSDT,40.72,945.45,10251.26
2022-04-04,ZECUSDT,-8.52,1025.13,10163.92
2022-04-06,XRPUSDT,-4.64,1025.13,10116.35
2022-04-08,ADAUSDT,-4.98,1011.64,10065.97
2022-04-08,XRPUSDT,-4.72,1011.64,10018.22
2022-04-08,TRXUSDT,-2.9,1011.64,9988.89
2022-04-08,BTCUSDT,-1.95,1011.64,9969.16
2022-04-08,LINKUSDT,-4.43,1011.64,9924.34
2022-04-08,UNIUSDT,-6.33,1011.64,9860.31
2022-04-10,AAVEUSDT,-4.57,986.03,9815.25
2022-04-11,ETHUSDT,-2.9,1011.64,9785.91
2022-04-11,BTCUSDT,-0.99,981.52,9776.19
2022-04-17,ADAUSDT,-4.49,977.62,9732.3
2022-04-17,ZECUSDT,-4.44,977.62,9688.89
2022-04-18,LINKUSDT,-2.64,977.62,9663.08
2022-04-21,UNIUSDT,-5.95,966.31,9605.59
2022-04-24,DOGEUSDT,-5.65,966.31,9550.99
2022-04-25,ETHUSDT,-5.94,966.31,9493.59
2022-04-25,BTCUSDT,-5.85,966.31,9437.06
2022-04-25,ADAUSDT,-7.02,966.31,9369.23
2022-04-25,NEARUSDT,-9.5,966.31,9277.43
2022-04-25,SOLUSDT,-7.83,966.31,9201.76
2022-04-26,UNIUSDT,-6.83,920.18,9138.92
2022-04-26,LINKUSDT,-7.07,920.18,9073.86
2022-04-26,BNBUSDT,-5.74,920.18,9021.04
2022-04-28,ZECUSDT,-6.19,966.31,8961.23
2022-04-29,AAVEUSDT,-9.36,920.18,8875.1
2022-04-29,NEARUSDT,-1.53,896.12,8861.39
2022-04-30,ETHUSDT,-1.82,902.1,8844.97
2022-05-05,DOGEUSDT,-19.21,920.18,8668.2
2022-05-05,BNBUSDT,-3.99,884.5,8632.91
2022-05-05,BTCUSDT,-3.11,884.5,8605.41
2022-05-06,AAVEUSDT,-3.98,860.54,8571.16
2022-05-06,SOLUSDT,-4.09,860.54,8535.96
2022-05-06,LINKUSDT,-2.87,860.54,8511.26
2022-05-06,ETHUSDT,-2.66,860.54,8488.37
2022-05-07,BTCUSDT,-2.4,848.84,8468.0
2022-05-07,BNBUSDT,-2.54,848.84,8446.44
2022-05-08,DOGEUSDT,-3.74,848.84,8414.69
2022-05-08,NEARUSDT,-4.18,844.64,8379.39
