time,symbol,pnl_pct,allocation,capital_after
2016-09-06,ABBV,0.61,500.0,10003.05
2016-09-06,DE,0.8,500.0,10007.05
2016-09-07,SLB,-0.11,500.0,10006.5
2016-09-08,BX,-0.82,500.0,10002.4
2016-09-14,AVGO,-1.17,500.35,9996.55
2016-09-14,AMD,-3.35,500.12,9979.79
2016-09-14,ADI,-1.1,500.12,9974.29
2016-09-14,TXN,1.38,500.12,9981.19
2016-09-15,COST,-2.57,500.0,9968.34
2016-09-15,MAR,-2.65,500.0,9955.09
2016-09-15,MNST,-4.12,500.33,9934.48
2016-09-15,ORCL,0.04,500.12,9934.68
2016-09-15,PM,1.97,500.12,9944.53
2016-09-15,T,1.56,500.12,9952.33
2016-09-15,MCO,1.65,500.12,9960.59
2016-09-15,CB,0.62,500.12,9963.69
2016-09-15,LIN,0.38,500.12,9965.59
2016-09-16,DE,-0.64,500.12,9962.39
2016-09-19,DHR,-3.68,500.35,9943.97
2016-09-19,ACN,-1.9,500.12,9934.47
2016-09-19,UPS,-0.77,500.12,9930.62
2016-09-19,ETN,-0.8,500.12,9926.62
2016-09-21,BRK-B,-0.41,500.12,9924.57
2016-09-28,BAC,1.62,496.23,9932.61
2016-09-28,PNC,1.57,496.23,9940.4
2016-09-30,KKR,1.48,496.23,9947.74
2016-09-30,BNY,1.8,497.02,9956.69
2016-10-04,AMGN,-1.57,497.02,9948.88
2016-10-05,ICE,-2.21,496.23,9937.92
2016-10-06,CME,-2.46,496.23,9925.71
2016-10-06,MNST,0.64,497.02,9928.89
2016-10-07,NEE,-0.77,497.83,9925.06
2016-10-10,SO,-4.72,497.02,9901.6
2016-10-10,DUK,-4.35,497.02,9879.98
2016-10-10,PM,-1.3,497.83,9873.51
2016-10-10,EQIX,0.63,497.44,9876.64
2016-10-10,TMUS,1.13,496.44,9882.25
2016-10-11,T,0.29,496.25,9883.69
2016-10-12,PLD,-2.23,497.44,9872.6
2016-10-12,NEM,0.49,497.44,9875.03
2016-10-12,VZ,-1.05,497.44,9869.81
2016-10-13,LMT,-3.11,497.83,9854.33
2016-10-13,WELL,-3.07,497.44,9839.06
2016-10-13,WMT,-1.93,496.44,9829.48
2016-10-14,MMM,0.08,494.18,9829.87
2016-10-14,ADI,-0.36,494.18,9828.09
2016-10-14,MU,1.3,494.18,9834.52
2016-10-14,GD,0.86,494.18,9838.77
2016-10-14,INTC,0.56,493.49,9841.53
2016-10-14,UNP,0.67,493.49,9844.84
2016-10-14,SCHW,1.42,491.47,9851.82
2016-10-17,TXN,-0.36,493.49,9850.04
2016-10-17,COF,0.7,491.47,9853.48
2016-10-18,FTNT,-11.73,496.25,9795.27
2016-10-18,MDT,0.12,494.18,9795.86
2016-10-18,CSCO,-2.23,494.18,9784.84
2016-10-18,STX,0.38,494.18,9786.72
2016-10-18,LIN,0.86,494.18,9790.97
2016-10-18,BKNG,-0.58,494.18,9788.1
2016-10-18,JCI,-0.91,494.18,9783.61
2016-10-18,PNC,1.88,491.47,9792.85
2016-10-18,ABBV,1.99,492.59,9802.65
2016-10-18,QCOM,1.1,492.67,9808.07
2016-10-18,JPM,0.49,492.67,9810.48
2016-10-19,AMAT,-1.42,494.18,9803.46
2016-10-19,KKR,0.65,492.59,9806.67
2016-10-19,COP,1.21,492.67,9812.63
2016-10-20,PANW,-4.76,494.18,9789.1
2016-10-21,AMZN,0.44,492.67,9791.27
2016-10-24,UPS,0.68,489.46,9794.6
2016-10-24,CMCSA,0.65,489.46,9797.78
2016-10-24,MMM,0.74,489.56,9801.4
2016-10-25,WDC,-2.51,492.59,9789.04
2016-10-25,PG,1.37,490.63,9795.76
2016-10-31,LLY,-6.27,492.67,9764.87
2016-10-31,BLK,-0.85,490.07,9760.71
2016-10-31,MRSH,0.8,489.79,9764.62
2016-10-31,MDT,0.81,489.79,9768.59
2016-11-02,UNP,-2.45,489.46,9756.6
2016-11-02,CME,0.77,489.79,9760.37
2016-11-03,SPGI,0.23,488.43,9761.49
2016-11-04,MCO,-4.83,489.56,9737.85
2016-11-04,CAT,-2.87,489.79,9723.79
2016-11-04,HCA,-4.86,489.79,9699.99
2016-11-04,COF,-1.57,488.43,9692.32
2016-11-07,SLB,-0.11,489.79,9691.78
2016-11-07,EQIX,-0.7,489.79,9688.35
2016-11-07,LIN,0.49,489.79,9690.75
2016-11-07,INTC,0.31,489.79,9692.27
2016-11-07,UNH,0.83,489.79,9696.34
2016-11-07,GLW,1.02,489.79,9701.33
2016-11-07,AMZN,0.81,489.79,9705.3
2016-11-07,GOOG,-0.56,488.43,9702.56
2016-11-07,AAPL,-0.76,488.43,9698.85
2016-11-07,NFLX,0.74,488.43,9702.47
2016-11-07,GOOGL,1.43,488.02,9709.44
2016-11-07,MU,3.9,488.02,9728.48
2016-11-07,AXP,2.07,488.02,9738.58
2016-11-07,SCHW,3.72,488.02,9756.73
2016-11-07,PG,1.44,484.62,9763.71
2016-11-07,JPM,2.83,484.62,9777.43
2016-11-07,BA,2.2,484.62,9788.09
2016-11-07,AMD,5.8,484.62,9816.2
2016-11-09,LMT,5.88,488.07,9844.89
2016-11-15,AMZN,3.06,492.24,9859.96
2016-11-16,NFLX,-0.5,492.24,9857.5
2016-11-16,V,2.08,492.24,9867.74
2016-11-16,ADBE,1.32,492.24,9874.23
2016-11-16,AVGO,2.17,492.24,9884.91
2016-11-30,WMB,4.69,494.25,9908.09
2016-11-30,SLB,4.87,494.25,9932.16
2016-12-01,PSX,2.84,494.25,9946.2
2016-12-05,VLO,4.51,496.61,9968.6
2016-12-05,AMZN,0.87,496.61,9972.92
2016-12-05,ADBE,2.15,497.31,9983.61
2016-12-05,APH,1.36,497.31,9990.37
2016-12-05,BKNG,1.06,497.31,9995.65
2016-12-05,NVDA,4.54,497.31,10018.22
2016-12-06,NOW,2.97,497.31,10032.99
2016-12-06,GLW,1.65,497.31,10041.2
2016-12-06,CDNS,1.33,497.31,10047.81
2016-12-06,KLAC,2.58,497.31,10060.64
2016-12-06,LRCX,4.23,497.31,10081.68
2016-12-06,AAPL,0.12,497.31,10082.28
2016-12-06,ACN,0.34,497.31,10083.97
2016-12-06,INTC,2.54,497.31,10096.6
2016-12-07,MRVL,2.93,497.31,10111.17
2016-12-07,TXN,2.24,497.31,10122.31
2016-12-07,AVGO,3.24,497.31,10138.42
2016-12-07,TJX,1.11,497.31,10143.94
2016-12-08,DHR,0.63,497.31,10147.08
2016-12-09,SPGI,-3.17,494.25,10131.41
2016-12-19,LMT,-3.03,507.35,10116.04
2016-12-20,JCI,0.76,506.57,10119.89
2016-12-20,FCX,-3.38,506.57,10102.76
