start_time,end_time,direction,wave0,wave1,wave2,wave3,wave4,wave5,fib_score
2025-11-11 01:00:00,2025-11-14 23:00:00,bearish,107500.0,100813.59,104085.01,94560.48,97411.11,94012.45,0.66
2026-04-02 13:00:00,2026-04-11 19:00:00,bullish,65712.12,70351.46,67732.01,72857.0,70466.0,73790.0,0.34
2024-11-06 08:00:00,2024-11-12 07:00:00,bullish,72656.31,81069.99,78473.13,89530.54,86561.35,89940.0,0.33
2025-03-07 14:00:00,2025-03-11 00:00:00,bearish,91100.0,80000.0,84123.46,77459.91,79886.03,76606.0,0.33
2025-03-07 00:00:00,2025-03-10 19:00:00,bearish,91283.02,85200.0,91100.0,80000.0,84123.46,77459.91,0.33
2025-06-22 20:00:00,2025-07-17 21:00:00,bullish,98200.0,108789.99,105100.19,123218.0,115736.92,120998.71,0.33
2025-04-13 21:00:00,2025-04-25 14:00:00,bullish,83034.23,86496.42,83111.64,94696.05,91660.01,95758.04,0.33
2025-11-18 16:00:00,2025-11-21 12:00:00,bearish,93836.01,88608.0,93160.0,82000.0,84709.89,80600.0,0.33
2026-01-23 17:00:00,2026-01-31 18:00:00,bearish,91224.99,86074.72,90600.0,81118.0,84621.16,75719.9,0.33
2026-02-06 03:00:00,2026-02-06 23:00:00,bullish,63770.17,66826.5,64500.0,71500.0,69340.91,71751.33,0.33
2026-05-14 17:00:00,2026-06-04 02:00:00,bearish,82048.13,74289.6,78080.0,65426.34,67516.0,61383.56,0.33
