deviation_pct,stop_loss_pct,take_profit_fib,num_trades,win_rate,total_return_pct,avg_return_pct,max_drawdown_pct,robustness_score
5.0,2.0,0.382,11,63.6,64.37,5.85,-2.0,9.701
5.0,2.0,0.236,11,81.8,52.7,4.79,-2.0,7.943
4.0,2.0,0.236,12,83.3,52.28,4.36,-2.0,7.552
5.0,2.0,0.5,11,54.5,49.58,4.51,-2.0,7.479
4.0,3.0,0.5,12,66.7,74.47,6.21,-3.0,7.171
2.0,2.0,0.236,38,89.5,82.61,2.17,-2.0,6.688
5.0,3.0,0.382,11,63.6,60.37,5.49,-3.0,6.069
4.0,3.0,0.382,12,66.7,61.32,5.11,-3.0,5.901
5.0,3.0,0.236,11,81.8,50.7,4.61,-3.0,5.097
4.0,4.0,0.5,12,66.7,70.47,5.87,-4.0,5.084
5.0,3.0,0.5,11,63.6,49.62,4.51,-3.0,4.986
4.0,3.0,0.236,12,83.3,50.28,4.19,-3.0,4.838
5.0,4.0,0.382,11,72.7,63.08,5.73,-4.0,4.751
4.0,2.0,0.5,12,50.0,63.34,5.28,-4.0,4.573
2.0,3.0,0.236,38,89.5,78.61,2.07,-3.0,4.253
4.0,4.0,0.382,12,66.7,57.32,4.78,-4.0,4.14
4.0,2.0,0.382,12,58.3,56.38,4.7,-4.0,4.07
5.0,4.0,0.5,11,72.7,52.33,4.76,-4.0,3.947
5.0,4.0,0.236,11,81.8,48.7,4.43,-4.0,3.673
3.0,2.0,0.382,17,52.9,57.63,3.39,-4.0,3.494
4.0,4.0,0.236,12,83.3,48.28,4.02,-4.0,3.481
3.0,2.0,0.236,17,76.5,55.24,3.25,-4.0,3.35
3.0,2.0,0.5,17,47.1,59.67,3.51,-6.0,2.412
3.0,3.0,0.236,17,76.5,51.24,3.01,-6.0,2.068
3.0,3.0,0.382,17,52.9,49.63,2.92,-6.0,2.007
3.0,4.0,0.382,17,64.7,60.8,3.58,-8.0,1.845
3.0,4.0,0.236,17,82.4,56.3,3.31,-8.0,1.706
3.0,3.0,0.5,17,47.1,50.67,2.98,-9.0,1.365
2.0,2.0,0.5,38,57.9,79.29,2.09,-10.0,1.288
3.0,4.0,0.5,17,58.8,62.73,3.69,-12.0,1.268
