time,price,type
2024-09-04 14:00:00,56187.61,low
2024-09-04 16:00:00,58519.0,high
2024-09-06 07:00:00,55280.0,low
2024-09-06 13:00:00,57008.0,high
2024-09-06 21:00:00,52550.0,low
2024-09-09 21:00:00,58088.0,high
2024-09-11 14:00:00,55545.19,low
2024-09-13 22:00:00,60625.0,high
2024-09-16 17:00:00,57493.3,low
2024-09-17 15:00:00,61320.0,high
2024-09-18 16:00:00,59174.8,low
2024-09-18 18:00:00,61318.6,high
2024-09-18 20:00:00,59473.68,low
2024-09-23 03:00:00,64745.88,high
2024-09-24 02:00:00,62700.0,low
2024-09-25 01:00:00,64817.99,high
2024-09-26 01:00:00,62670.0,low
2024-09-27 14:00:00,66498.0,high
2024-10-01 20:00:00,60164.0,low
2024-10-02 16:00:00,62390.31,high
2024-10-03 13:00:00,59828.11,low
2024-10-07 14:00:00,64478.19,high
2024-10-10 18:00:00,58946.0,low
2024-10-15 14:00:00,67950.0,high
2024-10-15 15:00:00,64800.01,low
2024-10-21 00:00:00,69519.52,high
2024-10-23 18:00:00,65260.0,low
2024-10-24 21:00:00,68850.0,high
2024-10-25 23:00:00,65596.29,low
2024-10-29 19:00:00,73620.12,high
2024-11-01 02:00:00,68830.0,low
2024-11-01 14:00:00,71632.95,high
2024-11-04 21:00:00,66835.0,low
2024-11-06 06:00:00,75407.1,high
2024-11-06 08:00:00,72656.31,low
2024-11-10 18:00:00,81069.99,high
2024-11-10 21:00:00,78473.13,low
2024-11-11 23:00:00,89530.54,high
2024-11-12 00:00:00,86561.35,low
2024-11-12 07:00:00,89940.0,high
2024-11-12 10:00:00,85229.0,low
2024-11-12 11:00:00,87860.75,high
2024-11-12 13:00:00,85072.0,low
2024-11-12 20:00:00,89876.94,high
2024-11-13 06:00:00,86127.99,low
2024-11-13 16:00:00,93265.64,high
2024-11-13 21:00:00,87970.98,low
2024-11-14 14:00:00,91790.0,high
2024-11-14 23:00:00,86668.21,low
2024-11-15 12:00:00,90709.74,high
2024-11-15 15:00:00,87754.45,low
2024-11-15 22:00:00,91850.0,high
2024-11-17 22:00:00,88722.0,low
2024-11-18 07:00:00,92300.0,high
2024-11-18 13:00:00,89376.9,low
2024-11-18 15:00:00,92594.0,high
2024-11-18 19:00:00,89667.66,low
2024-11-22 19:00:00,99588.01,high
2024-11-24 16:00:00,95734.77,low
2024-11-25 09:00:00,98871.8,high
2024-11-26 11:00:00,91466.52,low
2024-11-26 16:00:00,94685.6,high
2024-11-26 20:00:00,90791.1,low
2024-11-29 15:00:00,98619.99,high
2024-12-03 14:00:00,93578.17,low
2024-12-05 03:00:00,104088.0,high
2024-12-05 22:00:00,90500.0,low
2024-12-06 20:00:00,101898.99,high
2024-12-09 21:00:00,94150.05,low
2024-12-10 14:00:00,98270.0,high
2024-12-10 18:00:00,94256.54,low
2024-12-12 16:00:00,102540.0,high
2024-12-13 02:00:00,99205.0,low
2024-12-16 00:00:00,106648.0,high
2024-12-16 12:00:00,103333.0,low
2024-12-17 14:00:00,108353.0,high
2024-12-19 02:00:00,98802.0,low
2024-12-19 14:00:00,102800.11,high
2024-12-20 12:00:00,92232.54,low
2024-12-21 07:00:00,99540.61,high
2024-12-23 02:00:00,93700.42,low
2024-12-23 11:00:00,96538.92,high
2024-12-23 20:00:00,92520.0,low
2024-12-26 00:00:00,99963.7,high
2024-12-27 07:00:00,94646.03,low
2024-12-27 09:00:00,97544.58,high
