time,symbol,pnl_pct,allocation,capital_after
2016-11-11,NEM,-3.3,1000.0,9967.0
2017-03-14,FCX,-3.3,996.7,9934.11
2017-03-28,NEM,-3.3,993.41,9901.33
2017-05-08,VRTX,52.73,996.7,10426.89
2017-05-30,AMD,13.52,996.7,10561.64
2017-06-02,STX,16.71,996.7,10728.19
2017-08-10,MU,-3.3,1072.82,10692.79
2017-08-18,STX,-3.3,1069.28,10657.5
2017-10-25,GE,-3.3,1065.75,10622.33
2017-11-10,HWM,5.97,1072.82,10686.38
2017-11-13,MCK,-3.3,1062.23,10651.32
2018-02-22,WELL,-3.3,1065.13,10616.17
2018-02-26,GE,-3.3,1065.13,10581.02
2018-03-28,AMGN,-3.3,1065.13,10545.88
2018-04-06,KLAC,-3.3,1054.59,10511.07
2018-04-09,LOW,-3.3,1054.59,10476.27
2018-04-13,ANET,-3.3,1047.63,10441.7
2018-04-19,PG,-3.3,1054.59,10406.9
2018-04-20,MRVL,-3.3,1047.63,10372.33
2018-04-25,AMD,-3.3,1047.63,10337.76
2018-06-04,BMY,-3.3,1033.78,10303.64
2018-06-21,ISRG,21.93,1065.13,10537.22
2018-06-25,MMM,-3.3,1033.78,10503.11
2018-07-03,LRCX,-3.3,1050.31,10468.45
2018-07-13,EQIX,13.6,1058.1,10612.35
2018-08-13,NFLX,15.8,1054.59,10778.98
2018-08-13,PM,-3.3,1061.24,10743.96
2018-08-15,AVGO,-3.3,1061.24,10708.94
2018-08-28,WFC,13.76,1037.23,10851.66
2018-09-06,SCHW,-3.3,1070.89,10816.32
2018-09-07,TSLA,-3.3,1081.63,10780.63
2018-09-27,MNST,16.55,1033.78,10951.71
2018-10-09,WDC,-3.3,1078.06,10916.14
2018-10-10,AMD,-3.3,1091.61,10880.12
2018-10-19,KLAC,-3.3,1088.01,10844.21
2018-10-24,LRCX,-3.3,1088.01,10808.31
2018-10-26,STX,-3.3,1080.83,10772.64
2018-10-26,GOOG,-3.3,1080.83,10736.97
2018-11-02,HWM,25.19,1050.31,11001.55
2018-11-02,PSX,-3.3,1073.7,10966.11
2018-11-15,EQIX,-3.3,1096.61,10929.93
2018-11-19,TXN,-3.3,1092.99,10893.86
2018-11-20,MU,-3.3,1073.7,10858.42
2018-11-20,WDC,-3.3,1096.61,10822.24
2018-11-20,WMB,-3.3,1089.39,10786.29
2018-11-26,FCX,-3.3,1073.7,10750.85
2018-12-06,BAC,-3.3,1073.7,10715.42
2018-12-07,NVDA,-3.3,1075.09,10679.94
2018-12-10,SPGI,-3.3,1073.7,10644.51
2018-12-14,PNC,-3.3,1073.7,10609.08
2018-12-17,MCO,-3.3,1073.7,10573.65
2018-12-17,AAPL,-3.3,1064.45,10538.52
2018-12-17,ANET,-3.3,1075.09,10503.04
2018-12-27,VRTX,-3.3,1050.3,10468.38
2019-01-03,HWM,-3.3,1046.84,10433.84
2019-01-03,WDC,-3.3,1046.84,10399.29
2019-04-05,REGN,19.67,1078.63,10611.46
2019-05-07,MS,20.15,1050.3,10823.1
2019-05-07,NOW,55.92,1050.3,11410.43
2019-05-08,VLO,11.32,1046.84,11528.93
2019-05-09,MCK,22.39,1046.84,11763.31
2019-05-10,TSLA,-3.3,1061.15,11728.3
2019-05-15,TMO,18.4,1039.93,11919.64
2019-05-16,ANET,20.52,1039.93,12133.04
2019-05-16,APH,19.14,1039.93,12332.08
2019-05-20,REGN,-3.3,1233.21,12291.38
2019-06-05,FCX,-3.3,1229.14,12250.82
2019-06-05,WDC,-3.3,1229.14,12210.26
2019-06-27,DELL,-3.3,1221.03,12169.97
2019-08-01,QCOM,-3.3,1221.03,12129.67
2019-08-02,COP,-3.3,1221.03,12089.38
2019-08-15,NVDA,-3.3,1221.03,12049.09
2019-08-22,COP,-3.3,1204.91,12009.32
2019-08-23,DELL,-3.3,1204.91,11969.56
2019-08-23,WMB,-3.3,1204.91,11929.8
2019-09-10,PANW,-3.3,1192.98,11890.43
2019-09-13,CRWD,-3.3,1189.04,11851.19
2019-09-23,ELV,-3.3,1185.12,11812.08
