time,symbol,pnl_pct,allocation,capital_after
2021-09-14 19:00:00,SOLUSDT,3.48,1000.0,10034.8
2021-09-17 19:00:00,SOLUSDT,3.29,1003.48,10067.81
2021-09-20 13:00:00,SOLUSDT,7.17,1006.78,10140.0
2021-09-21 00:00:00,XRPUSDT,-2.3,1014.0,10116.68
2021-09-21 01:00:00,BNBUSDT,4.91,1011.67,10166.35
2021-09-21 02:00:00,ETHUSDT,7.01,1011.67,10237.27
2021-11-17 10:00:00,XRPUSDT,4.06,1023.73,10278.83
2021-11-18 18:00:00,BNBUSDT,3.47,1027.88,10314.5
2021-11-28 07:00:00,XRPUSDT,4.81,1031.45,10364.11
2021-12-04 06:00:00,BNBUSDT,7.45,1036.41,10441.33
2021-12-04 06:00:00,BTCUSDT,9.35,1036.41,10538.23
2021-12-04 14:00:00,SOLUSDT,6.63,1053.82,10608.1
2021-12-30 12:00:00,XRPUSDT,6.02,1060.81,10671.96
2022-01-06 16:00:00,XRPUSDT,3.83,1067.2,10712.83
2022-01-06 18:00:00,SOLUSDT,5.12,1067.2,10767.47
2022-01-07 16:00:00,ETHUSDT,3.55,1076.75,10805.7
2022-01-09 19:00:00,BTCUSDT,3.99,1076.75,10848.66
2022-01-22 01:00:00,XRPUSDT,6.6,1084.87,10920.26
2022-01-22 09:00:00,SOLUSDT,-2.3,1092.03,10895.14
2022-01-22 10:00:00,ETHUSDT,-2.3,1084.87,10870.19
2022-01-24 11:00:00,SOLUSDT,6.37,1087.02,10939.44
2022-01-24 16:00:00,BNBUSDT,3.22,1093.94,10974.66
2022-02-03 14:00:00,SOLUSDT,4.29,1097.47,11021.74
2022-02-09 10:00:00,SOLUSDT,2.4,1102.17,11048.19
2022-02-12 15:00:00,XRPUSDT,4.47,1104.82,11097.58
2022-02-14 13:00:00,ETHUSDT,3.34,1109.76,11134.65
2022-02-14 13:00:00,BNBUSDT,2.38,1109.76,11161.06
2022-02-14 14:00:00,SOLUSDT,5.71,1109.76,11224.43
2022-02-20 05:00:00,SOLUSDT,-2.3,1122.44,11198.61
2022-02-21 14:00:00,ETHUSDT,5.33,1119.86,11258.3
2022-02-23 08:00:00,BTCUSDT,5.85,1125.83,11324.16
2022-03-09 03:00:00,SOLUSDT,7.06,1132.42,11404.11
2022-04-14 00:00:00,XRPUSDT,3.62,1140.41,11445.39
2022-04-18 18:00:00,BTCUSDT,5.16,1144.54,11504.45
2022-04-25 14:00:00,SOLUSDT,3.85,1150.44,11548.74
2022-05-10 01:00:00,XRPUSDT,4.53,1154.87,11601.06
2022-05-19 03:00:00,SOLUSDT,4.61,1160.11,11654.54
2022-05-27 12:00:00,ETHUSDT,4.88,1165.45,11711.41
2022-06-04 21:00:00,SOLUSDT,7.98,1171.14,11804.87
2022-06-13 07:00:00,XRPUSDT,-2.3,1180.49,11777.72
2022-06-13 08:00:00,BTCUSDT,-2.3,1180.49,11750.57
2022-06-13 14:00:00,BNBUSDT,-2.3,1175.06,11723.54
2022-06-13 16:00:00,ETHUSDT,7.66,1175.06,11813.55
2022-06-15 10:00:00,ETHUSDT,5.61,1181.35,11879.82
2022-06-18 21:00:00,BTCUSDT,6.9,1187.98,11961.79
2022-06-18 21:00:00,BNBUSDT,6.62,1187.98,12040.44
2022-06-29 20:00:00,SOLUSDT,5.51,1204.04,12106.78
2022-07-13 08:00:00,SOLUSDT,5.05,1210.68,12167.92
2022-08-03 01:00:00,SOLUSDT,5.51,1216.79,12234.97
2022-08-20 19:00:00,SOLUSDT,-2.3,1223.5,12206.83
2022-08-21 08:00:00,XRPUSDT,4.04,1223.5,12256.25
2022-08-23 14:00:00,ETHUSDT,7.14,1225.63,12343.76
2022-08-29 12:00:00,SOLUSDT,4.81,1234.38,12403.14
2022-08-29 12:00:00,ETHUSDT,4.68,1234.38,12460.91
2022-09-17 16:00:00,ETHUSDT,3.89,1246.09,12509.38
2022-11-08 03:00:00,SOLUSDT,-2.3,1250.94,12480.61
2022-11-09 12:00:00,XRPUSDT,8.0,1248.06,12580.45
2022-11-09 17:00:00,SOLUSDT,-2.3,1258.05,12551.52
2022-11-10 12:00:00,BTCUSDT,3.29,1255.15,12592.81
2022-11-13 13:00:00,SOLUSDT,5.37,1259.28,12660.44
2022-11-14 06:00:00,XRPUSDT,5.28,1266.04,12727.28
2022-11-21 22:00:00,SOLUSDT,4.54,1272.73,12785.06
2022-11-22 13:00:00,ETHUSDT,4.44,1278.51,12841.83
2022-12-14 03:00:00,BNBUSDT,3.16,1284.18,12882.41
2022-12-20 04:00:00,SOLUSDT,6.38,1288.24,12964.6
2022-12-29 18:00:00,SOLUSDT,-2.3,1296.46,12934.78
2023-03-10 13:00:00,SOLUSDT,8.14,1293.48,13040.07
2023-03-12 18:00:00,BTCUSDT,5.47,1304.01,13111.4
2023-03-12 18:00:00,BNBUSDT,4.0,1304.01,13163.56
2023-04-22 14:00:00,XRPUSDT,5.39,1316.36,13234.51
2023-05-08 23:00:00,XRPUSDT,4.13,1323.45,13289.17
2023-05-10 18:00:00,SOLUSDT,3.87,1328.92,13340.6
2023-06-10 17:00:00,SOLUSDT,12.58,1334.06,13508.42
2023-06-12 02:00:00,BNBUSDT,-2.3,1334.06,13477.74
2023-08-08 04:00:00,XRPUSDT,4.6,1347.77,13539.74
2023-08-23 00:00:00,BNBUSDT,4.97,1353.97,13607.03
2023-08-23 17:00:00,ETHUSDT,6.41,1353.97,13693.82
2023-09-12 03:00:00,SOLUSDT,4.15,1369.38,13750.65
2023-11-21 19:00:00,SOLUSDT,4.1,1375.06,13807.03
2023-12-29 01:00:00,SOLUSDT,3.59,1380.7,13856.59
2024-01-22 20:00:00,SOLUSDT,3.41,1385.66,13903.85
2024-03-19 10:00:00,SOLUSDT,5.28,1390.38,13977.26
2024-03-20 08:00:00,ETHUSDT,5.29,1397.73,14051.2
2024-04-13 22:00:00,XRPUSDT,12.34,1405.12,14224.59
2024-04-13 23:00:00,ETHUSDT,6.97,1405.12,14322.53
2024-05-01 12:00:00,SOLUSDT,4.95,1432.25,14393.42
2024-05-01 12:00:00,BNBUSDT,3.27,1432.25,14440.26
2024-05-02 12:00:00,ETHUSDT,3.49,1444.03,14490.65
2024-05-02 14:00:00,BTCUSDT,4.05,1444.03,14549.14
2024-06-14 21:00:00,ETHUSDT,4.01,1454.91,14607.48
2024-06-18 20:00:00,SOLUSDT,3.57,1460.75,14659.63
2024-06-24 09:00:00,BNBUSDT,-2.3,1460.75,14626.03
2024-07-08 08:00:00,ETHUSDT,6.41,1462.6,14719.78
2024-08-02 13:00:00,SOLUSDT,4.88,1471.98,14791.62
2024-08-05 06:00:00,BNBUSDT,-2.3,1479.16,14757.6
2024-08-05 06:00:00,BTCUSDT,-2.3,1479.16,14723.57
2024-08-05 07:00:00,XRPUSDT,7.44,1472.36,14833.12
2024-08-05 14:00:00,ETHUSDT,14.07,1479.16,15041.24
2024-08-28 20:00:00,SOLUSDT,3.36,1504.12,15091.77
2024-10-03 08:00:00,XRPUSDT,-2.3,1509.18,15057.06
2024-10-26 00:00:00,XRPUSDT,3.61,1505.71,15111.42
2024-12-10 05:00:00,XRPUSDT,6.72,1511.14,15212.97
2024-12-20 14:00:00,ETHUSDT,7.35,1521.3,15324.78
2025-01-20 04:00:00,SOLUSDT,5.75,1532.48,15412.9
2025-01-27 20:00:00,SOLUSDT,4.58,1541.29,15483.49
2025-02-02 23:00:00,XRPUSDT,4.45,1548.35,15552.39
2025-02-25 07:00:00,SOLUSDT,-2.3,1555.24,15516.62
2025-02-25 12:00:00,XRPUSDT,7.13,1551.66,15627.26
2025-03-04 10:00:00,XRPUSDT,7.76,1562.73,15748.52
2025-03-10 02:00:00,XRPUSDT,5.16,1574.85,15829.79
2025-03-11 02:00:00,BNBUSDT,4.63,1582.98,15903.08
2025-03-11 02:00:00,ETHUSDT,6.17,1582.98,16000.75
2025-03-11 03:00:00,SOLUSDT,7.89,1582.98,16125.65
2025-03-11 05:00:00,BTCUSDT,4.69,1582.98,16199.89
2025-04-01 08:00:00,XRPUSDT,6.04,1619.99,16297.73
2025-04-07 13:00:00,ETHUSDT,8.83,1629.77,16441.64
2025-06-22 00:00:00,SOLUSDT,3.92,1644.16,16506.09
