deviation_pct,stop_loss_pct,take_profit_fib,num_trades,num_symbols,win_rate,total_return_pct,avg_return_pct,max_drawdown_pct,robustness_score
4.0,2.0,0.236,144,5,84.7,657.73,4.57,-6.0,9.14
2.0,2.0,0.236,424,5,90.1,970.08,2.29,-5.43,8.684
5.0,2.0,0.236,106,5,79.2,525.78,4.96,-6.0,8.511
3.0,3.0,0.236,226,5,85.4,713.7,3.16,-6.0,7.918
3.0,2.0,0.236,226,5,82.3,700.06,3.1,-6.0,7.767
4.0,2.0,0.382,144,5,60.4,714.55,4.96,-8.0,7.44
3.0,4.0,0.236,226,5,87.6,724.92,3.21,-8.0,6.032
4.0,3.0,0.236,144,5,85.4,645.3,4.48,-9.0,5.973
4.0,2.0,0.5,144,5,49.3,697.98,4.85,-10.0,5.82
5.0,3.0,0.236,106,5,81.1,527.26,4.97,-9.0,5.685
2.0,3.0,0.236,424,5,91.5,966.85,2.28,-9.43,4.979
4.0,3.0,0.382,144,5,63.9,710.38,4.93,-12.0,4.93
2.0,2.0,0.382,424,5,67.7,974.67,2.3,-10.0,4.736
3.0,2.0,0.382,226,5,57.1,697.1,3.08,-10.0,4.63
4.0,4.0,0.236,144,5,88.2,661.46,4.59,-12.0,4.59
4.0,4.0,0.382,144,5,66.7,697.54,4.84,-13.04,4.454
5.0,4.0,0.236,106,5,84.0,544.27,5.13,-12.0,4.401
5.0,2.0,0.382,106,5,59.4,594.72,5.61,-14.0,4.126
5.0,2.0,0.5,106,5,50.0,579.18,5.46,-14.0,4.015
4.0,3.0,0.5,144,5,54.2,706.06,4.9,-15.0,3.92
5.0,4.0,0.382,106,5,67.9,631.05,5.95,-16.0,3.829
3.0,2.0,0.5,226,5,44.2,656.2,2.9,-12.0,3.633
2.0,4.0,0.236,424,5,91.7,937.99,2.21,-13.43,3.388
3.0,3.0,0.382,226,5,61.9,704.96,3.12,-15.0,3.127
2.0,4.0,0.382,424,5,75.7,988.34,2.33,-15.84,3.029
2.0,2.0,0.5,424,5,56.4,989.43,2.33,-16.0,2.999
4.0,4.0,0.5,144,5,56.9,678.26,4.71,-20.0,2.826
2.0,3.0,0.382,424,5,72.2,972.26,2.29,-16.84,2.8
5.0,3.0,0.382,106,5,63.2,605.59,5.71,-21.0,2.799
5.0,3.0,0.5,106,5,54.7,594.76,5.61,-21.0,2.75
3.0,3.0,0.5,226,5,50.0,684.3,3.03,-18.55,2.456
3.0,4.0,0.5,226,5,55.3,719.03,3.18,-20.0,2.39
3.0,4.0,0.382,226,5,66.4,726.74,3.22,-20.75,2.333
5.0,4.0,0.5,106,5,57.5,572.77,5.4,-24.0,2.317
2.0,3.0,0.5,424,5,61.1,973.26,2.3,-24.0,1.973
2.0,4.0,0.5,424,5,65.1,985.25,2.32,-28.0,1.706
