time,symbol,pnl_pct,allocation,capital_after
2025-03-04 01:00:00,ADAUSDT,-2.3,1000.0,9977.0
2025-03-04 01:00:00,XRPUSDT,-2.3,1000.0,9954.0
2025-03-04 14:00:00,DOGEUSDT,6.92,995.4,10022.88
2025-03-04 16:00:00,LINKUSDT,-2.3,995.4,9999.99
2025-03-06 21:00:00,ADAUSDT,2.74,1000.0,10027.39
2025-03-10 01:00:00,ADAUSDT,4.3,1002.74,10070.51
2025-03-10 02:00:00,ZECUSDT,6.42,1002.74,10134.88
2025-03-10 02:00:00,XRPUSDT,5.16,1002.74,10186.62
2025-03-10 14:00:00,NEARUSDT,-2.3,1018.66,10163.19
2025-03-11 00:00:00,LINKUSDT,-2.3,1016.32,10139.82
2025-03-11 02:00:00,BNBUSDT,4.63,1013.98,10186.77
2025-03-11 02:00:00,ETHUSDT,6.17,1013.98,10249.33
2025-03-11 03:00:00,SOLUSDT,7.89,1013.98,10329.33
2025-03-11 05:00:00,BTCUSDT,4.69,1013.98,10376.89
2025-03-22 08:00:00,ZECUSDT,3.57,1037.69,10413.93
2025-04-01 08:00:00,XRPUSDT,6.04,1041.39,10476.83
2025-04-02 15:00:00,DOGEUSDT,5.15,1047.68,10530.79
2025-04-06 08:00:00,ZECUSDT,2.76,1053.08,10559.85
2025-04-07 08:00:00,LINKUSDT,6.94,1055.99,10633.14
2025-04-07 08:00:00,UNIUSDT,7.03,1055.99,10707.37
2025-04-07 13:00:00,ETHUSDT,8.83,1055.99,10800.62
2025-04-07 13:00:00,NEARUSDT,6.8,1070.74,10873.43
2025-04-09 13:00:00,NEARUSDT,4.12,1087.34,10918.23
2025-05-30 18:00:00,AAVEUSDT,3.91,1091.82,10960.92
2025-05-30 18:00:00,ADAUSDT,2.94,1091.82,10993.02
2025-05-31 00:00:00,DOGEUSDT,-2.3,1091.82,10967.9
2025-06-01 04:00:00,UNIUSDT,2.89,1096.79,10999.6
2025-06-06 14:00:00,UNIUSDT,5.07,1099.96,11055.37
2025-06-13 15:00:00,UNIUSDT,4.56,1105.54,11105.78
2025-06-13 23:00:00,AAVEUSDT,3.78,1110.58,11147.76
2025-06-18 14:00:00,NEARUSDT,3.29,1114.78,11184.44
2025-06-22 00:00:00,SOLUSDT,3.92,1118.44,11228.28
2025-06-22 22:00:00,DOGEUSDT,4.58,1122.83,11279.71
2025-06-22 22:00:00,ZECUSDT,3.12,1122.83,11314.74
2025-06-22 22:00:00,NEARUSDT,3.87,1122.83,11358.19
2025-06-23 00:00:00,LINKUSDT,6.67,1122.83,11433.08
2025-06-23 00:00:00,ETHUSDT,6.05,1122.83,11501.02
2025-06-23 17:00:00,ADAUSDT,3.39,1150.1,11540.0
2025-07-24 08:00:00,ADAUSDT,4.3,1154.0,11589.63
2025-07-24 08:00:00,LINKUSDT,3.61,1154.0,11631.29
2025-07-24 10:00:00,ZECUSDT,3.72,1154.0,11674.21
2025-08-03 07:00:00,NEARUSDT,4.17,1167.42,11722.9
2025-08-03 15:00:00,ZECUSDT,4.7,1167.42,11777.76
2025-08-22 14:00:00,NEARUSDT,4.47,1177.78,11830.41
2025-08-31 00:00:00,LINKUSDT,3.01,1183.04,11866.02
2025-08-31 03:00:00,UNIUSDT,5.41,1183.04,11930.02
2025-09-01 05:00:00,ADAUSDT,-2.3,1183.04,11902.81
2025-09-16 17:00:00,DOGEUSDT,4.1,1190.28,11951.62
2025-09-24 14:00:00,ADAUSDT,4.6,1195.16,12006.59
2025-09-25 04:00:00,UNIUSDT,-2.3,1195.16,11979.1
2025-09-25 12:00:00,LINKUSDT,-2.3,1195.16,11951.62
2025-10-04 04:00:00,ZECUSDT,6.16,1195.16,12025.24
2025-10-07 08:00:00,ZECUSDT,5.49,1202.52,12091.26
2025-10-10 22:00:00,PEPEUSDT,58.57,1209.13,12799.44
2025-10-11 02:00:00,AAVEUSDT,7.29,1279.94,12892.75
2025-10-11 02:00:00,BNBUSDT,5.13,1279.94,12958.41
2025-10-11 09:00:00,ADAUSDT,9.66,1279.94,13082.05
2025-10-11 19:00:00,SOLUSDT,-2.3,1279.94,13052.61
2025-10-14 09:00:00,ZECUSDT,5.74,1305.26,13127.54
2025-10-16 03:00:00,ZECUSDT,5.65,1312.75,13201.71
2025-10-16 16:00:00,BNBUSDT,-2.3,1312.75,13171.51
2025-10-18 19:00:00,AAVEUSDT,7.07,1317.15,13264.64
2025-10-23 00:00:00,ZECUSDT,5.07,1326.46,13331.89
2025-10-31 19:00:00,SUIUSDT,2.71,1333.19,13368.02
2025-11-01 08:00:00,NEARUSDT,3.69,1333.19,13417.21
2025-11-02 07:00:00,UNIUSDT,5.07,1333.19,13484.8
2025-11-04 05:00:00,PEPEUSDT,-2.3,1348.48,13453.79
2025-11-04 05:00:00,DOGEUSDT,-2.3,1348.48,13422.77
2025-11-04 07:00:00,AAVEUSDT,-2.3,1348.48,13391.76
2025-11-04 17:00:00,WLDUSDT,-2.3,1342.28,13360.89
2025-11-04 17:00:00,ADAUSDT,-2.3,1339.18,13330.09
2025-11-04 18:00:00,LINKUSDT,-2.3,1339.18,13299.28
2025-11-04 22:00:00,BNBUSDT,6.36,1329.93,13383.87
2025-11-05 05:00:00,SOLUSDT,8.17,1329.93,13492.52
2025-11-05 16:00:00,ETHUSDT,7.8,1338.39,13596.92
2025-11-09 02:00:00,PROMUSDT,5.96,1359.69,13677.95
2025-11-13 17:00:00,NEARUSDT,-2.3,1367.8,13646.5
2025-11-14 05:00:00,PEPEUSDT,4.33,1364.65,13705.58
2025-11-14 06:00:00,LINKUSDT,3.69,1364.65,13755.94
2025-11-14 14:00:00,DOGEUSDT,2.83,1375.59,13794.87
2025-11-14 14:00:00,ETHUSDT,3.68,1375.59,13845.49
2025-11-14 14:00:00,SOLUSDT,4.11,1375.59,13902.03
2025-11-14 15:00:00,ADAUSDT,3.53,1375.59,13950.59
2025-11-14 23:00:00,SUIUSDT,-2.3,1375.59,13918.95
2025-11-15 13:00:00,ZECUSDT,4.2,1391.89,13977.41
2025-11-16 16:00:00,AAVEUSDT,-2.3,1375.59,13945.77
2025-11-17 14:00:00,WLDUSDT,2.68,1394.58,13983.14
2025-11-21 08:00:00,UNIUSDT,5.63,1398.31,14061.87
2025-11-21 13:00:00,WLDUSDT,5.35,1406.19,14137.1
2025-11-21 13:00:00,BNBUSDT,4.18,1406.19,14195.88
2025-11-21 13:00:00,DOGEUSDT,4.4,1406.19,14257.75
2025-11-21 13:00:00,XRPUSDT,5.15,1406.19,14330.17
2025-11-21 13:00:00,ADAUSDT,4.93,1406.19,14399.49
2025-11-22 06:00:00,ZECUSDT,8.52,1439.95,14522.18
