time,symbol,pnl_pct,allocation,capital_after
2022-09-18,ADAUSDT,-6.83,1000.0,9931.7
2022-10-08,LINKUSDT,0.36,1000.0,9935.3
2022-10-13,LINKUSDT,-5.42,1000.0,9881.1
2022-10-13,ADAUSDT,-21.64,1000.0,9664.7
2022-10-23,UNIUSDT,1.48,1000.0,9679.5
2022-10-28,UNIUSDT,10.54,1000.0,9784.9
2022-10-28,BNBUSDT,7.63,967.95,9858.75
2022-11-02,AAVEUSDT,7.61,993.53,9934.36
2022-11-02,ETHUSDT,-2.62,985.88,9908.53
2022-11-02,ETHUSDT,-2.62,985.88,9882.7
2022-12-07,ETHUSDT,-25.02,1000.0,9632.5
2023-01-16,BNBUSDT,-6.92,988.27,9564.11
2023-01-16,XRPUSDT,-14.58,988.27,9420.02
2023-01-16,BTCUSDT,25.53,963.25,9665.94
2023-01-21,BNBUSDT,6.3,1000.0,9728.94
2023-01-21,XRPUSDT,12.51,993.17,9853.19
2023-02-25,ETHUSDT,0.82,966.59,9861.11
2023-03-07,LINKUSDT,0.11,985.32,9862.2
2023-03-07,AAVEUSDT,-6.3,986.11,9800.07
2023-03-12,ETHUSDT,22.48,966.47,10017.33
2023-03-12,BNBUSDT,-3.95,966.59,9979.15
2023-03-12,UNIUSDT,-8.58,980.01,9895.07
2023-03-17,UNIUSDT,-0.69,980.01,9888.31
2023-03-17,LINKUSDT,9.71,989.51,9984.39
2023-03-17,XRPUSDT,1.96,989.51,10003.78
2023-03-22,LINKUSDT,9.19,989.51,10094.72
2023-03-22,LINKUSDT,-0.77,1000.38,10087.02
2023-03-27,BNBUSDT,-8.65,1000.38,10000.48
2023-03-27,ADAUSDT,-1.42,1000.38,9986.28
2023-04-01,UNIUSDT,0.19,1008.7,9988.19
2023-04-01,UNIUSDT,7.8,998.63,10066.09
2023-04-16,XRPUSDT,8.45,998.63,10150.47
2023-05-11,ADAUSDT,-20.57,1015.05,9941.68
2023-05-31,BTCUSDT,28.14,966.59,10213.68
2023-06-15,ADAUSDT,-27.44,1008.7,9936.89
2023-06-25,BNBUSDT,-24.47,1006.61,9690.57
2023-06-25,LINKUSDT,-18.73,1006.61,9502.03
2023-06-25,XRPUSDT,-5.39,1021.37,9446.98
2023-06-25,UNIUSDT,22.33,993.69,9668.87
2023-06-30,UNIUSDT,-3.21,966.89,9637.84
2023-06-30,UNIUSDT,-3.21,966.89,9606.8
2023-06-30,UNIUSDT,-3.21,966.89,9575.76
2023-07-05,BNBUSDT,-0.88,957.58,9567.33
2023-07-10,ADAUSDT,0.01,957.58,9567.43
2023-07-15,UNIUSDT,10.7,956.74,9669.8
2023-07-30,ETHUSDT,14.15,985.32,9809.22
2023-07-30,LINKUSDT,19.37,957.58,9994.71
2023-08-09,BTCUSDT,0.73,999.47,10002.0
2023-08-14,ETHUSDT,-0.83,1000.2,9993.7
2023-09-03,UNIUSDT,-31.57,999.47,9678.17
2023-09-08,BTCUSDT,-12.26,999.37,9555.65
2023-09-13,LINKUSDT,-4.44,955.56,9513.22
2023-09-18,ETHUSDT,7.49,988.27,9587.24
2023-09-18,BTCUSDT,1.76,951.32,9603.98
2023-10-23,UNIUSDT,-19.35,956.73,9418.86
2023-11-07,BTCUSDT,82.4,966.47,10215.23
2023-11-07,BNBUSDT,7.45,941.89,10285.4
2023-11-12,XRPUSDT,56.89,994.17,10850.98
2023-11-12,ADAUSDT,8.87,1028.54,10942.21
2023-12-07,BTCUSDT,16.45,1094.22,11122.21
2023-12-27,ETHUSDT,25.85,1028.54,11388.09
2024-01-11,BNBUSDT,-5.21,1138.81,11328.76
2024-01-21,AAVEUSDT,59.03,960.4,11895.68
2024-01-26,ETHUSDT,-13.68,1132.88,11740.7
2024-02-10,BNBUSDT,1.08,1189.57,11753.55
2024-02-10,BNBUSDT,6.58,1174.07,11830.8
2024-02-17,LINKUSDT,225.05,966.89,14006.78
2024-02-23,UNIUSDT,71.7,1183.08,14855.05
2024-02-25,LINKUSDT,210.34,967.82,16890.76
2024-02-26,UNIUSDT,59.81,1183.08,17598.36
2024-03-01,BNBUSDT,4.56,1689.08,17675.38
2024-03-06,LINKUSDT,205.55,960.4,19649.48
2024-03-11,BTCUSDT,15.23,1767.54,19918.67
2024-03-21,ADAUSDT,38.4,1112.22,20345.77
2024-03-21,ETHUSDT,15.56,1400.68,20563.71
2024-04-15,ADAUSDT,19.94,1094.22,20781.9
2024-04-30,SOLUSDT,361.35,966.98,24276.08
2024-05-05,ETHUSDT,3.76,2427.61,24367.36
2024-05-20,XRPUSDT,7.74,2078.19,24528.21
2024-05-25,ADAUSDT,-8.21,2452.82,24326.84
2024-05-30,BTCUSDT,4.05,2056.37,24410.12
2024-06-14,ETHUSDT,-7.4,2441.01,24229.48
2024-06-29,BTCUSDT,-7.96,2422.95,24036.62
2024-07-04,ETHUSDT,-9.74,2403.66,23802.5
2024-07-14,SOLUSDT,1.02,2436.74,23827.35
2024-07-24,ETHUSDT,2.5,2382.74,23886.92
2024-08-08,BNBUSDT,-1.43,1991.87,23858.44
2024-08-18,BTCUSDT,-5.58,2385.84,23725.31
2024-08-23,BNBUSDT,11.09,2372.53,23988.42
2024-08-28,ETHUSDT,-19.07,1689.08,23666.32
2024-09-02,LINKUSDT,-3.88,2366.63,23574.49
