lookback_days,rebalance_days,stop_loss_pct,num_trades,num_pairs,win_rate,total_return_pct,avg_return_pct,avg_holding_days,max_drawdown_pct,robustness_score
120,5,kein Stop,422,20,45.5,2423.91,5.74,52.8,-177.35,0.665
120,1,kein Stop,940,20,44.4,2763.03,2.94,24.2,-186.69,0.483
60,5,kein Stop,618,20,42.7,2120.77,3.43,39.7,-178.49,0.478
120,1,12.0,1238,20,39.5,2579.45,2.08,18.5,-216.95,0.337
120,5,12.0,710,20,31.8,1754.99,2.47,31.4,-234.76,0.28
60,1,kein Stop,1336,20,43.9,2051.32,1.54,18.4,-210.12,0.268
20,5,kein Stop,1189,20,45.8,2409.39,2.03,21.5,-290.69,0.241
20,1,kein Stop,2533,20,42.8,2376.76,0.94,10.1,-231.05,0.205
120,1,8.0,1494,20,34.5,2146.9,1.44,15.4,-310.24,0.179
60,1,12.0,1727,20,41.2,1652.1,0.96,14.2,-237.3,0.168
120,5,8.0,910,20,25.5,1457.42,1.6,23.9,-324.83,0.149
20,1,12.0,2980,20,42.0,1885.19,0.63,8.6,-256.96,0.134
60,5,12.0,965,20,34.5,1006.92,1.04,24.5,-262.99,0.123
60,1,8.0,2038,20,36.6,1397.92,0.69,12.1,-275.51,0.113
20,5,12.0,1569,20,40.9,1564.17,1.0,15.6,-352.36,0.112
20,5,8.0,1866,20,35.0,1394.68,0.75,12.6,-317.19,0.102
20,1,8.0,3453,20,37.9,1255.35,0.36,7.4,-304.73,0.069
60,5,8.0,1245,20,28.2,626.79,0.5,18.4,-391.79,0.045
