time,symbol,pnl_pct,allocation,capital_after
2016-09-16,USB,-3.55,1000.0,9964.5
2016-09-30,JPM,-1.22,1000.0,9952.3
2016-10-07,C,4.04,995.23,9992.51
2016-10-14,BAC,-0.17,1000.0,9990.81
2016-10-21,PNC,1.96,999.25,10010.39
2016-10-21,JPM,1.14,999.08,10021.78
2016-10-28,C,4.35,1000.0,10065.28
2016-10-28,BNY,1.19,1002.18,10077.21
2016-11-04,JPM,1.25,1000.0,10089.71
2016-12-05,PNC,16.94,1007.72,10260.42
2016-12-19,JPM,2.31,1026.04,10284.12
2017-01-26,GOOGL,7.99,1000.0,10364.02
2017-04-17,MS,31.1,1000.0,10675.02
2017-04-24,GS,27.31,1008.97,10950.57
2017-05-08,GOOG,11.98,1036.4,11074.73
2017-05-08,WFC,4.83,1067.5,11126.29
2017-05-08,MS,-1.09,1095.06,11114.35
2017-05-15,PNC,6.15,1028.41,11177.6
2017-05-15,C,1.22,1111.44,11191.16
2017-05-15,PNC,-1.55,1111.44,11173.93
2017-05-22,JPM,-3.32,1117.39,11136.83
2017-05-22,JPM,-3.32,1117.39,11099.74
2017-05-30,JPM,26.86,1000.0,11368.34
2017-06-06,BAC,34.4,1002.18,11713.09
2017-06-06,C,-0.97,1117.39,11702.25
2017-06-13,USB,3.3,1136.83,11739.76
2017-06-13,MS,4.85,1170.22,11796.52
2017-06-20,PNC,30.22,1007.72,12101.05
2017-06-20,C,5.34,1111.44,12160.4
2017-06-27,MS,-3.11,1216.04,12122.58
2017-07-05,PNC,5.25,1109.97,12180.86
2017-07-05,MS,7.2,1170.22,12265.11
2017-07-05,BAC,4.54,1179.65,12318.67
2017-07-05,MS,1.15,1216.04,12332.65
2017-07-12,WFC,-1.39,1233.27,12315.51
2017-07-12,BAC,-2.59,1233.27,12283.57
2017-07-19,C,3.55,1212.26,12326.61
2017-07-19,JPM,-2.95,1233.27,12290.22
2017-07-26,BNY,0.32,1229.02,12294.16
2017-08-02,MS,1.76,1229.02,12315.79
2017-08-09,JPM,-0.46,1233.27,12310.12
2017-08-09,C,0.83,1229.42,12320.32
2017-08-16,BNY,-2.45,1232.03,12290.13
2017-08-30,PNC,-4.81,1232.03,12230.87
2017-09-07,JPM,-5.22,1231.58,12166.59
2017-09-14,JPM,-0.67,1223.09,12158.39
2017-09-21,BAC,3.5,1215.84,12200.95
2017-10-05,PNC,6.87,1228.36,12285.33
2017-10-05,JPM,2.46,1220.09,12315.35
2017-10-12,BAC,-2.9,1231.53,12279.63
2017-10-19,BNY,-3.2,1231.53,12240.22
2017-11-02,USB,6.03,1228.36,12314.29
2017-11-02,MS,14.67,1216.66,12492.78
2017-11-09,JPM,-4.2,1249.28,12440.31
2017-11-16,C,18.13,1109.97,12641.55
2017-11-16,MS,-0.75,1244.03,12632.22
2017-11-24,JPM,2.13,1227.96,12658.37
2017-12-01,WFC,-0.8,1249.28,12648.38
2017-12-01,BAC,5.83,1265.84,12722.18
2017-12-08,USB,0.54,1272.22,12729.05
2017-12-08,JPM,0.79,1272.22,12739.1
2017-12-15,C,16.32,1179.65,12931.62
2018-03-08,C,10.07,1229.01,13055.38
2018-03-23,WFC,-12.3,1273.91,12898.69
2018-04-13,BAC,2.67,1273.91,12932.7
2018-04-13,WFC,-3.2,1289.87,12891.42
2018-04-20,USB,-1.32,1289.14,12874.41
2018-04-27,JPM,-1.12,1289.14,12859.97
2018-05-04,BNY,-1.55,1287.44,12840.01
2018-05-04,BAC,-3.12,1286.0,12799.89
2018-05-11,GS,3.1,1279.99,12839.57
2018-05-18,C,-4.28,1283.96,12784.62
2018-06-04,BAC,11.65,1224.02,12927.22
2018-06-04,BAC,-2.75,1278.46,12892.06
2018-06-11,PNC,0.68,1279.99,12900.76
2018-06-11,PNC,0.03,1289.21,12901.15
2018-06-18,C,-2.3,1290.11,12871.48
2018-06-25,GS,-4.56,1287.15,12812.78
2018-07-02,USB,-1.73,1290.11,12790.46
2018-07-02,PNC,-2.11,1281.28,12763.43
2018-07-06,MS,-12.3,1293.16,12604.37
2018-07-10,PNC,59.57,996.45,13197.95
2018-07-10,PNC,1.05,1276.34,13211.36
2018-07-17,WFC,-0.41,1321.14,13205.94
2018-07-24,GOOGL,8.82,1289.21,13319.65
2018-07-31,USB,2.93,1321.14,13358.36
2018-07-31,PNC,2.07,1320.59,13385.69
2018-07-31,GOOG,-2.77,1331.96,13348.8
2018-09-19,JPM,21.03,1263.22,13614.45
2018-09-19,WFC,-3.21,1334.88,13571.6
2018-09-26,GOOG,0.5,1357.16,13578.39
2018-10-03,C,-2.14,1357.16,13549.35
2018-10-10,MS,-5.59,1354.93,13473.6
2018-10-17,JPM,-1.77,1347.36,13449.76
2018-10-26,GOOGL,-12.3,1357.84,13282.74
2018-10-31,BNY,-3.41,1344.98,13236.88
2018-11-14,BAC,-3.62,1276.34,13190.67
2018-11-15,C,-12.3,1334.88,13026.48
2018-11-21,GOOGL,-4.62,1323.69,12965.33
2018-11-21,PNC,-1.36,1319.07,12947.39
2018-12-06,C,-12.3,1321.14,12784.89
2018-12-07,GOOG,-0.4,1294.74,12779.71
2018-12-07,BAC,-6.53,1294.74,12695.17
2018-12-07,C,-7.49,1294.74,12598.19
2018-12-14,PNC,-8.07,1323.69,12491.37
2018-12-14,PNC,-6.67,1259.82,12407.34
2018-12-14,GOOGL,0.19,1259.82,12409.73
2018-12-17,JPM,-12.3,1305.54,12249.15
2018-12-19,USB,-12.3,1334.88,12084.96
2018-12-21,C,-12.3,1259.82,11930.0
2018-12-21,PNC,-12.3,1259.82,11775.05
2018-12-24,BAC,-12.3,1263.22,11619.67
2019-01-15,GOOG,3.06,1240.97,11657.64
2019-01-15,MS,13.5,1177.5,11816.61
2019-01-23,C,0.92,1181.66,11827.48
2019-01-30,GOOGL,0.76,1181.66,11836.46
2019-03-14,JPM,12.47,1177.5,11983.29
2019-03-14,JPM,12.47,1177.5,12130.13
2019-03-14,GOOG,8.56,1183.65,12231.45
2019-03-21,PNC,-5.47,1223.14,12164.54
2019-03-21,GOOGL,3.36,1223.14,12205.64
2019-03-28,JPM,-2.4,1220.56,12176.35
2019-04-04,BAC,18.61,1161.97,12392.59
2019-04-04,WFC,-2.64,1223.14,12360.3
