time,symbol,pnl_pct,allocation,capital_after
2022-02-15,NEARUSDT,5.74,1000.0,10057.4
2022-04-07,ZECUSDT,-3.44,1005.74,10022.8
2022-04-18,NEARUSDT,2.81,1002.28,10050.97
2022-05-01,NEARUSDT,-21.42,1005.1,9835.67
2022-06-18,TRXUSDT,-20.39,983.57,9635.13
2022-08-10,UNIUSDT,8.94,963.51,9721.26
2022-08-23,UNIUSDT,-16.36,972.13,9562.22
2022-10-16,BNBUSDT,-1.71,956.22,9545.87
2022-10-21,XRPUSDT,2.14,954.59,9566.3
2022-11-12,DOGEUSDT,-21.05,956.63,9364.93
2022-11-14,XRPUSDT,-7.27,956.63,9295.38
2022-11-23,DOGEUSDT,6.11,929.54,9352.18
2022-12-17,DOGEUSDT,-17.6,935.22,9187.58
2023-01-20,DOGEUSDT,7.41,918.76,9255.66
2023-01-20,TRXUSDT,6.17,918.76,9312.35
2023-01-20,BNBUSDT,6.12,918.76,9368.57
2023-01-25,ETHUSDT,3.3,936.86,9399.49
2023-02-07,ADAUSDT,4.04,939.95,9437.46
2023-02-07,SOLUSDT,4.82,939.95,9482.77
2023-02-07,BTCUSDT,1.04,939.95,9492.55
2023-02-13,DOGEUSDT,0.5,949.25,9497.29
2023-02-13,BTCUSDT,-0.4,949.25,9493.5
2023-02-14,ADAUSDT,7.69,949.25,9566.49
2023-02-14,ETHUSDT,2.52,949.25,9590.41
2023-02-15,BNBUSDT,3.36,949.25,9622.31
2023-02-26,TRXUSDT,2.12,962.23,9642.71
2023-02-26,BNBUSDT,1.82,962.23,9660.22
2023-02-27,BTCUSDT,1.02,962.23,9670.04
2023-03-01,NEARUSDT,-0.04,962.23,9669.65
2023-03-01,AAVEUSDT,1.29,962.23,9682.06
2023-03-01,UNIUSDT,3.82,962.23,9718.82
2023-03-05,ADAUSDT,-12.17,962.23,9601.72
2023-03-07,BNBUSDT,-0.68,971.88,9595.11
2023-03-07,SOLUSDT,-9.78,962.23,9501.0
2023-03-12,BTCUSDT,-1.9,971.88,9482.54
2023-03-12,TRXUSDT,-4.13,971.88,9442.4
2023-03-12,ETHUSDT,2.83,950.1,9469.29
2023-04-05,BNBUSDT,1.35,946.93,9482.07
2023-04-10,SOLUSDT,3.94,948.21,9519.43
2023-04-18,BTCUSDT,2.93,951.94,9547.32
2023-04-25,BTCUSDT,3.51,954.73,9580.83
2023-04-25,XRPUSDT,4.24,954.73,9621.31
2023-04-25,ETHUSDT,0.64,954.73,9627.42
2023-04-25,NEARUSDT,-4.55,954.73,9583.98
2023-04-25,SOLUSDT,-1.52,954.73,9569.47
2023-04-25,ADAUSDT,-1.85,954.73,9551.81
2023-04-25,AAVEUSDT,-3.95,954.73,9514.1
2023-04-25,LINKUSDT,1.96,954.73,9532.81
2023-04-30,BNBUSDT,4.55,953.28,9576.18
2023-05-03,BTCUSDT,3.11,957.62,9605.96
2023-05-05,ADAUSDT,1.61,957.62,9621.38
2023-05-05,XRPUSDT,1.07,960.6,9631.66
2023-05-12,XRPUSDT,0.21,963.17,9633.68
2023-05-12,SOLUSDT,1.06,963.17,9643.89
2023-05-12,ADAUSDT,1.12,963.17,9654.68
2023-05-13,BNBUSDT,-1.29,963.17,9642.26
2023-05-15,BTCUSDT,-2.13,963.17,9621.74
2023-05-15,ETHUSDT,0.92,963.17,9630.6
2023-06-06,ETHUSDT,3.8,963.06,9667.2
2023-06-06,BTCUSDT,5.54,963.06,9720.55
2023-06-13,TRXUSDT,-6.59,972.06,9656.49
2023-06-16,ETHUSDT,-2.22,972.06,9634.91
2023-06-18,XRPUSDT,1.1,965.65,9645.54
2023-07-10,XRPUSDT,3.12,964.55,9675.63
2023-07-10,BTCUSDT,1.43,964.55,9689.42
2023-07-10,ETHUSDT,1.55,964.55,9704.37
2023-07-21,AAVEUSDT,2.89,970.44,9732.42
2023-07-23,ETHUSDT,-0.29,970.44,9729.6
2023-07-23,BTCUSDT,0.45,970.44,9733.97
2023-07-26,SOLUSDT,7.4,973.4,9806.0
2023-07-28,XRPUSDT,1.11,973.4,9816.81
2023-08-01,XRPUSDT,0.03,981.68,9817.1
