time,symbol,pnl_pct,allocation,capital_after
2016-09-06,ABBV,0.61,500.0,10003.05
2016-09-06,DE,0.8,500.0,10007.05
2016-09-07,SLB,-0.11,500.0,10006.5
2016-09-08,BX,-0.82,500.0,10002.4
2016-09-14,TXN,1.38,500.12,10009.3
2016-09-14,ADI,-1.1,500.12,10003.8
2016-09-14,AVGO,-1.17,500.35,9997.95
2016-09-14,AMAT,1.68,500.12,10006.35
2016-09-14,AMD,-3.35,500.12,9989.59
2016-09-15,MNST,-4.12,500.33,9968.98
2016-09-15,MAR,-2.65,500.0,9955.73
2016-09-15,ORCL,0.04,500.12,9955.93
2016-09-15,PEP,1.07,500.12,9961.28
2016-09-15,ABT,-0.03,500.12,9961.13
2016-09-15,MSFT,1.44,500.12,9968.33
2016-09-15,ADBE,-0.06,500.12,9968.03
2016-09-15,RTX,-0.27,500.12,9966.68
2016-09-15,COST,-2.57,500.0,9953.83
2016-09-15,LIN,0.38,500.12,9955.73
2016-09-15,MRSH,0.32,500.12,9957.33
2016-09-19,UPS,-0.77,500.12,9953.48
2016-09-19,ACN,-1.9,500.12,9943.98
2016-09-19,DHR,-3.68,500.35,9925.57
2016-09-28,PNC,1.57,496.28,9933.36
2016-09-28,BAC,1.62,496.28,9941.4
2016-09-30,BNY,1.8,497.07,9950.35
2016-09-30,KKR,1.48,496.28,9957.69
2016-10-04,AMGN,-1.57,497.07,9949.89
2016-10-05,ICE,-2.21,496.28,9938.92
2016-10-06,CME,-2.46,496.28,9926.71
2016-10-06,MNST,0.64,497.07,9929.89
2016-10-07,NEE,-0.77,497.88,9926.06
2016-10-10,TMUS,1.13,496.49,9931.67
2016-10-10,PM,-1.3,497.88,9925.2
2016-10-10,SO,-4.72,497.07,9901.74
2016-10-10,DUK,-4.35,497.07,9880.11
2016-10-10,EQIX,0.63,497.49,9883.25
2016-10-11,T,0.29,496.3,9884.69
2016-10-12,PLD,-2.23,497.49,9873.59
2016-10-12,NEM,0.49,497.49,9876.03
2016-10-12,VZ,-1.05,497.49,9870.81
2016-10-13,LMT,-3.11,497.88,9855.32
2016-10-13,WELL,-3.07,497.49,9840.05
2016-10-13,WMT,-1.93,496.49,9830.47
2016-10-14,MMM,0.08,494.23,9830.86
2016-10-14,UNP,0.67,493.54,9834.17
2016-10-14,MU,1.3,494.23,9840.59
2016-10-14,INTC,0.56,493.54,9843.36
2016-10-14,GD,0.86,494.23,9847.61
2016-10-14,ADI,-0.36,494.23,9845.83
2016-10-17,TXN,-0.36,493.54,9844.05
2016-10-18,BKNG,-0.58,494.23,9841.19
2016-10-18,CSCO,-2.23,494.23,9830.16
2016-10-18,ABBV,1.99,492.29,9839.96
2016-10-18,JCI,-0.91,494.23,9835.46
2016-10-18,DHR,-0.18,494.23,9834.57
2016-10-18,FTNT,-11.73,496.3,9776.36
2016-10-18,STX,0.38,494.23,9778.23
2016-10-18,QCOM,1.1,492.2,9783.65
2016-10-18,MDT,0.12,494.23,9784.24
2016-10-18,LIN,0.86,494.23,9788.49
2016-10-19,AMAT,-1.42,494.23,9781.47
2016-10-19,APH,1.93,491.52,9790.96
2016-10-19,COP,1.21,492.2,9796.92
2016-10-19,KKR,0.65,492.29,9800.12
2016-10-19,WMB,2.61,491.52,9812.95
2016-10-21,AMZN,0.44,492.2,9815.11
2016-10-24,UPS,0.68,490.65,9818.45
2016-10-24,CMCSA,0.65,490.65,9821.64
2016-10-24,MMM,0.74,490.76,9825.27
2016-10-25,WDC,-2.51,492.29,9812.91
2016-10-25,PG,1.37,490.65,9819.63
2016-10-26,PFE,-1.4,491.52,9812.75
2016-10-31,LLY,-6.27,492.2,9781.89
2016-10-31,BLK,-0.85,491.26,9777.72
2016-10-31,MDT,0.81,490.64,9781.69
2016-10-31,MRSH,0.8,490.98,9785.62
2016-11-02,CME,0.77,490.64,9789.4
2016-11-02,UNP,-2.45,490.65,9777.37
2016-11-03,SPGI,0.23,489.28,9778.5
2016-11-04,CAT,-2.87,490.98,9764.41
2016-11-04,COF,-1.57,489.28,9756.73
2016-11-04,HCA,-4.86,490.64,9732.88
2016-11-04,MCO,-4.83,490.76,9709.18
2016-11-07,JPM,2.83,485.46,9722.92
2016-11-07,UNH,0.83,490.64,9726.99
2016-11-07,NFLX,0.74,489.28,9730.61
2016-11-07,AMZN,0.81,490.64,9734.58
2016-11-07,AXP,2.07,488.87,9744.7
2016-11-07,AMD,5.8,485.46,9772.86
2016-11-07,SCHW,3.72,488.87,9791.05
2016-11-07,PG,1.44,485.46,9798.04
2016-11-07,INTC,0.31,490.64,9799.56
2016-11-07,C,2.68,488.87,9812.66
2016-11-07,SLB,-0.11,490.64,9812.12
2016-11-07,AAPL,-0.76,489.28,9808.4
2016-11-07,LIN,0.49,490.64,9810.81
2016-11-07,GOOG,-0.56,489.28,9808.07
2016-11-07,PEP,0.79,485.46,9811.9
2016-11-07,GLW,1.02,490.64,9816.9
2016-11-07,EQIX,-0.7,490.64,9813.47
2016-11-07,GOOGL,1.43,488.87,9820.46
2016-11-08,META,3.22,488.92,9836.2
2016-11-15,AMZN,3.06,491.81,9851.25
2016-11-16,ADBE,1.32,491.81,9857.75
2016-11-16,NFLX,-0.5,491.81,9855.29
2016-11-16,V,2.08,491.81,9865.52
2016-11-16,AVGO,2.17,491.81,9876.19
2016-11-30,SLB,4.87,493.81,9900.24
2016-11-30,WMB,4.69,493.81,9923.4
2016-12-01,PSX,2.84,493.81,9937.42
2016-12-05,NVDA,4.54,496.87,9959.98
2016-12-05,ADBE,2.15,496.87,9970.66
2016-12-05,APH,1.36,496.87,9977.42
2016-12-05,VLO,4.51,496.17,9999.8
2016-12-05,BKNG,1.06,496.87,10005.06
2016-12-05,AMZN,0.87,496.17,10009.38
2016-12-06,GLW,1.65,496.87,10017.58
2016-12-06,AAPL,0.12,496.87,10018.17
2016-12-06,ACN,0.34,496.87,10019.86
2016-12-06,LRCX,4.23,496.87,10040.88
2016-12-06,CDNS,1.33,496.87,10047.49
2016-12-06,INTC,2.54,496.87,10060.11
2016-12-06,NOW,2.97,496.87,10074.87
2016-12-06,KLAC,2.58,496.87,10087.69
2016-12-07,MRVL,2.93,496.87,10102.25
2016-12-07,AVGO,3.24,496.87,10118.34
2016-12-07,CSCO,2.09,496.87,10128.73
2016-12-07,TXN,2.24,496.87,10139.86
2016-12-08,DHR,0.63,496.87,10142.99
2016-12-09,SPGI,-3.17,493.81,10127.33
2016-12-19,LMT,-3.03,507.15,10111.97
2016-12-20,FCX,-3.38,506.37,10094.85
2016-12-20,BKNG,0.91,506.37,10099.46
2016-12-20,ICE,-0.04,506.37,10099.26
