allocation_pct,limit,final_capital,total_return_pct,trades_ausgefuehrt,trades_uebersprungen,max_drawdown_pct
10%,8,12991.3,29.91,2641,2750,-21.82
10%,15,13393.6,33.94,2940,2451,-28.46
10%,20,13393.6,33.94,2940,2451,-28.46
10%,unbegrenzt,13393.6,33.94,2940,2451,-28.46
5%,8,11503.67,15.04,2641,2750,-11.33
5%,15,12691.41,26.91,3752,1639,-18.48
5%,20,13675.2,36.75,4232,1159,-21.05
5%,unbegrenzt,13675.2,36.75,4232,1159,-21.05
3%,8,10900.71,9.01,2641,2750,-6.9
3%,15,11587.96,15.88,3752,1639,-11.39
3%,20,12335.46,23.35,4271,1120,-12.71
3%,unbegrenzt,12935.25,29.35,4931,460,-15.84
