allocation_pct,limit,final_capital,total_return_pct,trades_ausgefuehrt,trades_uebersprungen,max_drawdown_pct
10%,8,13501.36,35.01,887,831,-11.44
10%,15,14842.66,48.43,994,724,-12.85
10%,20,14842.66,48.43,994,724,-12.85
10%,unbegrenzt,14842.66,48.43,994,724,-12.85
5%,8,11658.79,16.59,887,831,-5.78
5%,15,13070.97,30.71,1260,458,-5.57
5%,20,13597.02,35.97,1415,303,-5.22
5%,unbegrenzt,13597.02,35.97,1415,303,-5.22
3%,8,10973.4,9.73,887,831,-3.48
3%,15,11759.66,17.6,1260,458,-3.35
3%,20,12128.92,21.29,1427,291,-3.17
3%,unbegrenzt,12559.51,25.6,1623,95,-4.82
