time,symbol,pnl_pct,allocation,capital_after
2021-09-02 04:00:00,UNIUSDT,-4.3,1000.0,9957.0
2021-09-06 12:00:00,ADAUSDT,-1.17,1000.0,9945.3
2021-09-07 08:00:00,BNBUSDT,-4.3,1000.0,9902.3
2021-09-07 08:00:00,TRXUSDT,1.95,1000.0,9921.8
2021-09-07 08:00:00,AAVEUSDT,-4.3,994.53,9879.04
2021-09-07 12:00:00,XRPUSDT,-4.3,1000.0,9836.04
2021-09-08 04:00:00,SOLUSDT,18.59,995.7,10021.14
2021-09-16 12:00:00,LINKUSDT,-4.3,1002.11,9978.04
2021-09-16 12:00:00,DOGEUSDT,-4.3,1002.11,9934.95
2021-09-16 20:00:00,ZECUSDT,-4.3,1002.11,9891.86
2021-09-17 20:00:00,ETHUSDT,-4.3,1002.11,9848.77
2021-09-20 00:00:00,BTCUSDT,-4.3,1002.11,9805.68
2021-09-25 20:00:00,SOLUSDT,-4.3,980.57,9763.52
2021-09-26 04:00:00,ADAUSDT,-4.3,980.57,9721.35
2021-10-04 00:00:00,ADAUSDT,-4.3,972.14,9679.55
2021-10-06 08:00:00,NEARUSDT,-4.3,972.14,9637.75
2021-10-10 20:00:00,DOGEUSDT,5.14,972.14,9687.72
2021-10-11 16:00:00,TRXUSDT,6.61,972.14,9751.97
2021-10-11 20:00:00,ZECUSDT,5.16,972.14,9802.14
2021-10-15 08:00:00,BNBUSDT,-4.3,980.21,9759.99
2021-10-17 20:00:00,BTCUSDT,-4.3,976.0,9718.02
2021-10-17 20:00:00,LINKUSDT,-4.3,976.0,9676.05
2021-10-20 16:00:00,ETHUSDT,7.87,976.0,9752.86
2021-10-20 20:00:00,UNIUSDT,5.43,976.0,9805.86
2021-10-22 12:00:00,ETHUSDT,-4.3,980.59,9763.69
2021-10-24 12:00:00,SOLUSDT,17.2,976.0,9931.57
2021-10-30 12:00:00,BNBUSDT,-4.3,993.16,9888.86
2021-10-31 12:00:00,ETHUSDT,-4.3,993.16,9846.15
2021-11-03 12:00:00,ZECUSDT,-4.3,984.62,9803.82
2021-11-04 12:00:00,ADAUSDT,-4.3,980.38,9761.66
2021-11-10 00:00:00,DOGEUSDT,-4.3,976.17,9719.68
2021-11-10 08:00:00,SOLUSDT,4.5,984.62,9763.99
2021-11-10 20:00:00,ETHUSDT,-4.3,976.17,9722.02
2021-11-10 20:00:00,BTCUSDT,-4.3,976.17,9680.04
2021-11-12 04:00:00,LINKUSDT,7.49,980.38,9753.47
2021-12-01 20:00:00,DOGEUSDT,-4.3,975.35,9711.53
2021-12-01 20:00:00,AAVEUSDT,-4.3,975.35,9669.59
2021-12-02 00:00:00,LINKUSDT,-4.3,975.35,9627.65
2021-12-02 00:00:00,XRPUSDT,-4.3,975.35,9585.71
2021-12-03 20:00:00,SOLUSDT,-4.3,975.35,9543.77
2021-12-28 00:00:00,TRXUSDT,-4.3,954.38,9502.73
2021-12-28 12:00:00,DOGEUSDT,-4.3,954.38,9461.7
2021-12-28 16:00:00,NEARUSDT,22.16,954.38,9673.19
2022-01-13 16:00:00,XRPUSDT,-4.3,967.32,9631.59
2022-01-13 16:00:00,BNBUSDT,-4.3,967.32,9590.0
2022-01-13 20:00:00,SOLUSDT,-4.3,967.32,9548.4
2022-01-14 08:00:00,ETHUSDT,-4.3,967.32,9506.81
2022-01-17 00:00:00,DOGEUSDT,1.56,967.32,9521.9
2022-02-02 20:00:00,DOGEUSDT,-4.3,952.19,9480.95
2022-02-04 12:00:00,BTCUSDT,8.87,952.19,9565.41
2022-02-05 00:00:00,LINKUSDT,17.44,952.19,9731.48
2022-02-06 12:00:00,LINKUSDT,-4.3,973.15,9689.63
2022-02-08 16:00:00,BNBUSDT,-4.3,973.15,9647.78
2022-02-11 16:00:00,ETHUSDT,23.16,952.19,9868.31
2022-02-11 20:00:00,ZECUSDT,31.94,952.19,10172.44
2022-02-12 00:00:00,BTCUSDT,1.73,973.15,10189.28
2022-02-17 12:00:00,BNBUSDT,-4.3,1018.93,10145.46
2022-02-17 12:00:00,ETHUSDT,-4.3,1018.93,10101.65
2022-02-27 00:00:00,AAVEUSDT,-4.3,1010.16,10058.21
2022-02-27 16:00:00,ETHUSDT,-4.3,1010.16,10014.77
2022-02-27 20:00:00,BTCUSDT,-4.3,1010.16,9971.34
2022-02-27 20:00:00,LINKUSDT,-4.3,1005.82,9928.09
2022-02-27 20:00:00,XRPUSDT,-4.3,1005.82,9884.84
2022-03-03 16:00:00,TRXUSDT,-4.3,988.48,9842.33
2022-03-10 04:00:00,ZECUSDT,-4.3,984.23,9800.01
2022-03-31 16:00:00,BTCUSDT,11.2,980.0,9909.77
2022-03-31 16:00:00,DOGEUSDT,17.94,980.0,10085.58
2022-04-01 00:00:00,BNBUSDT,8.62,980.0,10170.06
2022-04-01 00:00:00,NEARUSDT,19.92,980.0,10365.27
2022-04-03 04:00:00,UNIUSDT,30.69,980.0,10666.04
2022-04-20 16:00:00,NEARUSDT,-4.3,1066.6,10620.17
2022-04-25 04:00:00,ZECUSDT,-4.3,1066.6,10574.31
2022-05-05 04:00:00,ADAUSDT,-4.3,1057.43,10528.84
2022-05-05 12:00:00,BTCUSDT,-4.3,1057.43,10483.37
2022-05-05 12:00:00,BNBUSDT,-4.3,1052.88,10438.1
2022-05-31 12:00:00,ADAUSDT,-4.3,1043.81,10393.21
2022-05-31 12:00:00,NEARUSDT,-4.3,1043.81,10348.33
2022-05-31 16:00:00,AAVEUSDT,-4.3,1034.83,10303.83
2022-06-01 16:00:00,DOGEUSDT,-4.3,1043.81,10258.95
2022-06-01 16:00:00,BTCUSDT,-4.3,1043.81,10214.06
2022-06-01 16:00:00,LINKUSDT,-4.3,1043.81,10169.18
2022-06-01 16:00:00,UNIUSDT,-4.3,1030.38,10124.87
2022-06-07 00:00:00,LINKUSDT,-4.3,1012.49,10081.34
2022-06-10 04:00:00,BTCUSDT,-0.21,1008.13,10079.22
2022-06-22 00:00:00,BTCUSDT,-4.3,1007.92,10035.88
2022-07-11 04:00:00,ETHUSDT,-0.58,1003.59,10030.06
2022-07-15 12:00:00,AAVEUSDT,-4.3,1003.01,9986.93
2022-07-17 08:00:00,ZECUSDT,-4.3,998.69,9943.98
2022-07-21 00:00:00,SOLUSDT,8.6,998.69,10029.87
2022-07-21 00:00:00,DOGEUSDT,5.98,994.4,10089.34
2022-07-21 20:00:00,UNIUSDT,6.49,998.69,10154.15
2022-07-23 12:00:00,XRPUSDT,4.33,998.69,10197.4
2022-07-24 12:00:00,ETHUSDT,34.32,998.69,10540.15
2022-07-29 04:00:00,UNIUSDT,-4.3,1054.01,10494.82
