t3_fast,t3_slow,adx_threshold,stop_loss_pct,num_trades,num_symbols,win_rate,total_return_pct,avg_return_pct,max_drawdown_pct,robustness_score
16,30,30.0,4.0,428,18,28.3,472.06,1.1,-120.91,0.188
16,21,20.0,2.0,1801,18,18.2,828.48,0.46,-121.05,0.161
16,30,20.0,4.0,1448,18,26.4,989.88,0.68,-162.28,0.159
12,30,30.0,4.0,463,18,28.3,435.65,0.94,-157.17,0.129
16,30,25.0,4.0,859,18,27.6,727.39,0.85,-197.83,0.126
16,21,20.0,3.0,1801,18,24.0,941.54,0.52,-176.43,0.125
16,21,25.0,3.0,1101,18,24.1,704.81,0.64,-177.27,0.12
16,30,20.0,3.0,1449,18,21.8,777.74,0.54,-193.86,0.106
16,21,25.0,2.0,1101,18,18.2,678.38,0.62,-193.86,0.106
8,30,20.0,4.0,1702,18,26.7,907.06,0.53,-222.51,0.098
16,30,25.0,3.0,860,18,22.3,508.95,0.59,-196.48,0.088
16,21,25.0,4.0,1101,18,28.4,651.47,0.59,-250.68,0.078
16,21,20.0,4.0,1801,18,27.9,782.32,0.43,-242.05,0.075
12,30,30.0,2.0,464,18,18.1,173.24,0.37,-111.6,0.071
12,25,20.0,4.0,1775,18,27.5,640.12,0.36,-216.11,0.07
12,25,20.0,3.0,1776,18,23.3,643.01,0.36,-220.91,0.069
16,25,30.0,4.0,504,18,28.8,225.18,0.45,-161.03,0.063
12,25,25.0,3.0,1068,18,23.0,498.96,0.47,-246.53,0.062
12,30,25.0,4.0,897,18,26.8,422.65,0.47,-270.41,0.052
16,30,30.0,3.0,429,18,22.8,292.64,0.68,-272.4,0.052
12,30,20.0,4.0,1588,18,26.0,513.62,0.32,-270.29,0.047
12,25,25.0,4.0,1067,18,27.0,330.69,0.31,-281.23,0.036
8,30,25.0,4.0,991,18,26.3,321.67,0.32,-367.62,0.027
