time,symbol,pnl_pct,allocation,capital_after
2021-10-22,AAVEUSDT,8.93,1000.0,10089.3
2021-10-22,LINKUSDT,16.01,1000.0,10249.4
2021-10-22,NEARUSDT,24.99,1000.0,10499.3
2021-10-22,BNBUSDT,7.6,1000.0,10575.3
2021-10-22,SOLUSDT,28.57,1000.0,10861.0
2021-10-22,ZECUSDT,41.57,1000.0,11276.7
2021-10-22,ADAUSDT,1.49,1000.0,11291.6
2021-10-27,XRPUSDT,-7.35,1000.0,11218.1
2021-11-06,DOGEUSDT,9.75,1121.81,11327.48
2021-11-07,BTCUSDT,4.15,1121.81,11374.03
2021-11-15,UNIUSDT,-3.03,1137.4,11339.57
2021-11-16,AAVEUSDT,-5.87,1137.4,11272.8
2021-11-16,DOGEUSDT,-8.25,1137.4,11178.97
2021-11-17,BTCUSDT,-2.77,1117.9,11148.0
2021-11-17,SOLUSDT,-2.69,1117.9,11117.93
2021-11-18,BNBUSDT,-4.5,1111.79,11067.9
2021-11-18,ETHUSDT,-5.53,1111.79,11006.42
2021-11-18,ZECUSDT,-4.25,1111.79,10959.17
2021-11-23,BTCUSDT,-4.52,1095.92,10909.63
2021-11-24,TRXUSDT,-6.08,1095.92,10843.0
2021-11-24,ADAUSDT,-5.06,1095.92,10787.55
2021-11-24,DOGEUSDT,-6.21,1090.96,10719.8
2021-11-26,XRPUSDT,-2.8,1071.98,10689.78
2021-11-28,SOLUSDT,-5.35,1068.98,10632.59
2021-12-03,BTCUSDT,-7.32,1063.26,10554.76
2021-12-03,AAVEUSDT,-8.81,1063.26,10461.09
2021-12-03,LINKUSDT,-8.9,1063.26,10366.46
2021-12-04,ADAUSDT,-11.47,1063.26,10244.5
2021-12-04,XRPUSDT,-9.2,1063.26,10146.68
2021-12-04,ETHUSDT,-3.47,1068.98,10109.59
2021-12-04,NEARUSDT,-10.61,1063.26,9996.78
2021-12-04,TRXUSDT,-6.4,1063.26,9928.73
2021-12-10,SOLUSDT,-16.08,992.87,9769.07
2021-12-13,SOLUSDT,-6.59,976.91,9704.7
2021-12-14,BNBUSDT,-7.42,992.87,9631.02
2021-12-23,AAVEUSDT,51.83,970.47,10134.02
2021-12-25,ZECUSDT,5.97,963.1,10191.52
2021-12-25,ETHUSDT,1.58,963.1,10206.73
2021-12-25,BNBUSDT,0.86,963.1,10215.02
2021-12-27,BTCUSDT,9.61,963.1,10307.57
2021-12-27,ADAUSDT,24.17,963.1,10540.35
2021-12-27,UNIUSDT,27.42,963.1,10804.43
2021-12-29,ZECUSDT,-1.17,1080.44,10791.79
2021-12-31,SOLUSDT,-2.82,1079.18,10761.36
2022-01-04,BTCUSDT,-1.47,1076.14,10745.54
2022-01-04,BNBUSDT,-1.36,1076.14,10730.91
2022-01-04,SOLUSDT,-2.39,1076.14,10705.19
2022-01-04,XRPUSDT,-4.66,1079.18,10654.9
2022-01-05,ETHUSDT,-3.65,1079.18,10615.51
2022-01-06,UNIUSDT,-4.98,1061.55,10562.64
2022-01-07,AAVEUSDT,-3.33,1056.26,10527.47
2022-01-07,BTCUSDT,-1.81,1056.26,10508.35
2022-01-08,ADAUSDT,-7.64,1056.26,10427.65
2022-01-10,SOLUSDT,-6.73,1042.77,10357.47
2022-01-10,BTCUSDT,-3.13,1042.77,10324.83
2022-01-10,ETHUSDT,-2.93,1042.77,10294.28
2022-01-10,DOGEUSDT,-4.14,1042.77,10251.11
2022-01-19,NEARUSDT,19.61,1042.77,10455.6
2022-01-20,AAVEUSDT,-1.05,1025.11,10444.83
2022-01-20,BNBUSDT,3.35,1025.11,10479.17
2022-01-20,XRPUSDT,-3.0,1025.11,10448.42
2022-01-22,DOGEUSDT,-1.71,1044.84,10430.55
2022-01-24,ETHUSDT,-4.95,1043.06,10378.92
2022-02-03,BTCUSDT,1.48,1037.89,10394.28
2022-02-03,AAVEUSDT,0.03,1037.89,10394.59
2022-02-03,BNBUSDT,-0.03,1037.89,10394.28
2022-02-03,UNIUSDT,-2.83,1037.89,10364.91
2022-02-03,LINKUSDT,4.32,1037.89,10409.75
2022-02-03,NEARUSDT,1.94,1037.89,10429.88
2022-02-03,ZECUSDT,6.59,1037.89,10498.28
2022-02-03,SOLUSDT,10.4,1037.89,10606.22
2022-02-13,NEARUSDT,-3.94,1060.62,10564.43
2022-02-13,SOLUSDT,-3.59,1060.62,10526.36
2022-02-17,ADAUSDT,-3.26,1052.64,10492.04
2022-02-18,LINKUSDT,-4.7,1052.64,10442.57
2022-02-18,AAVEUSDT,-2.0,1049.2,10421.58
2022-02-18,SOLUSDT,-6.16,1052.64,10356.74
2022-02-18,ZECUSDT,-1.97,1049.2,10336.07
2022-02-18,UNIUSDT,-5.11,1052.64,10282.28
2022-02-19,NEARUSDT,-5.16,1052.64,10227.96
2022-02-20,ETHUSDT,-2.8,1022.8,10199.33
