time,symbol,pnl_pct,allocation,capital_after
2016-09-16,RTX,-6.5,1000.0,9935.0
2016-09-16,LOW,-7.48,1000.0,9860.2
2016-09-16,GOOGL,0.53,1000.0,9865.5
2016-09-16,AMGN,1.36,1000.0,9879.1
2016-09-16,MSFT,-0.89,1000.0,9870.2
2016-09-16,VRTX,-2.45,1000.0,9845.7
2016-09-16,TXN,-0.79,1000.0,9837.8
2016-09-16,TJX,-4.24,1000.0,9795.4
2016-10-03,SLB,3.57,979.54,9830.37
2016-10-03,GE,0.41,979.54,9834.39
2016-10-04,NEM,-10.52,979.54,9731.34
2016-10-05,XOM,4.14,979.54,9771.89
2016-10-10,PFE,-0.39,979.54,9768.07
2016-10-10,VRTX,-2.92,979.54,9739.47
2016-10-10,AXP,-2.21,979.54,9717.82
2016-10-10,BX,-3.44,979.54,9684.12
2016-10-17,BRK-B,-0.27,983.44,9681.47
2016-10-17,PM,-2.26,983.44,9659.24
2016-10-18,SPGI,-1.35,973.13,9646.11
2016-10-19,WM,-0.27,977.19,9643.47
2016-10-24,FTNT,-11.02,968.41,9536.75
2016-10-24,RTX,-0.76,968.41,9529.39
2016-10-25,ADI,2.86,968.41,9557.09
2016-10-25,WDC,-5.58,968.41,9503.05
2016-10-31,MCD,-0.16,965.92,9501.5
2016-11-01,COST,-1.94,964.61,9482.79
2016-11-03,MRSH,-2.72,964.35,9456.56
2016-11-03,LMT,2.66,964.35,9482.21
2016-11-07,REGN,0.57,952.94,9487.64
2016-11-07,SLB,-1.0,952.94,9478.11
2016-11-08,LLY,-5.1,950.3,9429.65
2016-11-08,TT,10.95,950.3,9533.71
2016-11-14,AVGO,-4.12,950.15,9494.56
2016-11-15,MU,6.3,948.28,9554.3
2016-11-17,APH,4.51,948.22,9597.07
2016-11-17,PSX,6.51,948.22,9658.79
2016-11-23,PG,-4.08,953.37,9619.9
2016-11-23,UNH,7.9,953.37,9695.21
2016-11-23,MO,-0.33,953.37,9692.07
2016-11-23,ADI,12.97,953.37,9815.72
2016-11-29,NEM,2.61,949.46,9840.5
2016-12-02,WMT,2.14,965.88,9861.17
2016-12-06,TMO,-2.07,965.88,9841.18
2016-12-06,JNJ,-2.86,965.88,9813.55
2016-12-08,ABBV,0.9,981.57,9822.39
2016-12-08,ICE,9.14,981.57,9912.1
2016-12-08,GILD,-4.66,981.57,9866.36
2016-12-08,VRTX,-11.89,981.57,9749.65
2016-12-13,BLK,6.88,984.05,9817.35
2016-12-16,NOW,1.4,986.12,9831.16
2016-12-21,MCK,-0.32,981.36,9828.02
2016-12-21,JNJ,3.49,981.36,9862.27
2016-12-23,LMT,-4.13,974.97,9822.0
2016-12-27,TJX,-1.39,974.97,9808.45
2016-12-27,ANET,4.72,974.97,9854.47
2016-12-27,GD,0.18,974.97,9856.22
2016-12-28,FCX,-10.07,981.74,9757.36
2017-01-03,MRSH,-1.16,983.12,9745.96
2017-01-06,NOW,5.98,986.23,9804.94
2017-01-06,PANW,6.79,986.23,9871.9
2017-01-10,BX,6.56,982.2,9936.33
2017-01-12,GOOGL,2.8,975.74,9963.65
2017-01-12,ICE,-0.18,975.74,9961.9
2017-01-12,COF,-0.64,975.74,9955.65
2017-01-12,MAR,-2.06,975.74,9935.55
2017-01-18,COP,-0.97,974.6,9926.1
2017-01-23,TXN,1.83,987.19,9944.16
2017-01-23,ADI,1.35,987.19,9957.49
2017-01-25,T,1.12,993.63,9968.62
2017-01-27,BMY,-15.88,993.56,9810.84
2017-01-27,JNJ,-1.38,993.56,9797.13
2017-01-27,ABBV,-2.39,993.56,9773.39
2017-01-27,CSCO,2.83,993.56,9801.5
2017-02-01,AMD,21.76,992.61,10017.5
2017-02-06,MRVL,12.67,995.75,10143.66
2017-02-06,ADP,-5.91,995.75,10084.81
2017-02-08,PLD,-4.97,996.86,10035.26
2017-02-10,WELL,0.92,980.15,10044.28
2017-02-13,ABBV,-0.17,980.15,10042.62
2017-02-13,COST,5.32,980.15,10094.76
2017-02-13,GOOGL,1.54,980.15,10109.85
2017-02-15,INTC,-0.88,1001.75,10101.04
2017-02-21,CAT,5.33,1008.48,10154.79
2017-02-22,EQIX,-2.22,1008.48,10132.4
2017-02-23,SLB,-0.49,1003.53,10127.49
2017-02-28,TMUS,2.38,1010.99,10151.55
2017-03-01,WDC,2.2,1010.99,10173.79
2017-03-01,NVDA,-5.69,1010.99,10116.26
2017-03-03,AMAT,4.8,1010.1,10164.75
2017-03-06,CVX,2.27,1010.1,10187.68
2017-03-07,NEM,-12.08,1015.48,10065.01
2017-03-08,WMB,2.71,1013.24,10092.47
2017-03-09,VRTX,8.84,1012.75,10181.99
2017-03-14,CMCSA,-0.33,1015.15,10178.64
2017-03-15,INTC,-2.61,1011.63,10152.24
2017-03-15,NOW,-0.84,1011.63,10143.74
2017-03-17,PG,0.25,1016.47,10146.28
2017-03-20,SBUX,-1.83,1018.77,10127.64
2017-03-21,VLO,2.03,1006.5,10148.07
2017-03-22,USB,-4.44,1009.25,10103.26
2017-03-23,BLK,-2.61,1018.2,10076.69
2017-03-28,CSX,-1.32,1017.86,10063.25
2017-03-29,IBM,-1.36,1014.37,10049.46
2017-03-29,SPGI,-1.87,1014.37,10030.49
2017-03-31,TMO,-3.02,1014.63,9999.84
2017-04-04,WMB,5.2,1014.81,10052.61
2017-04-04,MDT,-0.39,1014.81,10048.66
2017-04-05,PANW,-3.62,1010.33,10012.08
2017-04-06,AMGN,-2.58,1007.67,9986.09
2017-04-11,HD,0.38,1006.33,9989.91
2017-04-12,INTU,-0.05,1003.05,9989.41
2017-04-12,SO,-0.88,1003.05,9980.58
2017-04-17,CVS,-0.01,999.98,9980.48
2017-04-19,ABBV,-1.88,1004.87,9961.59
2017-04-19,CSCO,-2.57,1004.87,9935.76
2017-04-20,MDT,0.67,1001.21,9942.47
2017-04-21,BMY,0.06,998.61,9943.07
2017-04-26,JPM,2.85,998.99,9971.54
2017-04-27,BX,8.57,998.06,10057.08
2017-04-27,MRVL,1.59,998.06,10072.95
2017-05-01,WFC,3.0,998.05,10102.89
2017-05-03,BRK-B,2.14,993.58,10124.15
2017-05-04,CB,0.81,994.25,10132.2
2017-05-04,SLB,-7.58,994.25,10056.84
2017-05-05,PANW,6.85,994.31,10124.95
2017-05-10,PEP,-0.73,997.15,10117.67
2017-05-11,PG,-2.03,1007.29,10097.22
2017-05-11,AMGN,-1.92,1007.29,10077.88
2017-05-15,ADI,4.93,1010.29,10127.69
2017-05-17,JCI,-0.97,1012.41,10117.87
2017-05-18,CVX,1.06,1005.68,10128.53
2017-05-18,SO,0.84,1005.68,10136.98
2017-05-19,AXP,-2.24,1012.49,10114.3
2017-05-24,BA,0.83,1011.77,10122.69
2017-05-25,TT,0.7,1007.79,10129.75
2017-05-25,BNY,0.66,1007.79,10136.4
2017-05-30,MSFT,3.18,1012.77,10168.61
2017-06-01,FCX,-0.13,1011.79,10167.29
2017-06-02,LOW,-4.86,1013.7,10118.03
2017-06-02,AMGN,0.45,1013.7,10122.59
2017-06-06,CVS,1.74,1011.43,10140.19
2017-06-08,HD,-0.7,1012.27,10133.1
2017-06-12,XOM,1.39,1013.64,10147.19
