allocation_pct,limit,oos_rendite_pct,oos_max_dd_pct,gesamt_rendite_pct,gesamt_max_dd_pct,2022_rendite_pct,2022_max_dd_pct,2020_rendite_pct,2020_max_dd_pct
10%,15,91.16,-16.7,142.31,-36.47,-24.4,-32.17,-26.72,-36.18
10%,20,91.16,-16.7,142.31,-36.47,-24.4,-32.17,-26.72,-36.18
10%,unbegrenzt,91.16,-16.7,142.31,-36.47,-24.4,-32.17,-26.72,-36.18
2%,unbegrenzt,73.12,-13.25,145.59,-29.91,-11.53,-18.67,-25.18,-29.91
5%,20,68.96,-13.64,170.37,-34.81,-19.66,-26.11,-25.58,-34.72
5%,unbegrenzt,68.96,-13.64,170.37,-34.81,-19.66,-26.11,-25.58,-34.72
3%,unbegrenzt,64.89,-14.95,162.24,-34.25,-14.66,-21.84,-29.46,-34.15
10%,8,63.38,-12.01,133.01,-32.54,-12.22,-25.57,-24.22,-32.22
5%,15,62.64,-10.42,121.09,-26.3,-17.0,-23.18,-17.97,-26.3
3%,20,39.87,-7.99,94.64,-21.72,-11.54,-16.44,-15.18,-21.72
3%,15,34.48,-6.33,64.65,-16.04,-10.18,-14.35,-10.51,-16.04
5%,8,28.79,-6.12,58.32,-16.74,-5.68,-13.37,-11.78,-16.55
2%,20,25.34,-5.37,57.9,-14.64,-7.63,-11.09,-9.98,-14.64
2%,15,22.01,-4.25,40.46,-10.78,-6.78,-9.71,-6.92,-10.78
3%,8,16.61,-3.7,32.85,-10.16,-3.29,-8.16,-6.98,-10.03
2%,8,10.85,-2.48,21.18,-6.81,-2.15,-5.49,-4.63,-6.72
