allocation_pct,limit,final_capital,total_return_pct,trades_ausgefuehrt,trades_uebersprungen,max_drawdown_pct
10%,8,23300.59,133.01,1887,10182,-32.54
10%,15,24230.55,142.31,2229,9840,-36.47
10%,20,24230.55,142.31,2229,9840,-36.47
10%,unbegrenzt,24230.55,142.31,2229,9840,-36.47
5%,8,15832.3,58.32,1887,10182,-16.74
5%,15,22108.6,121.09,3402,8667,-26.3
5%,20,27036.62,170.37,4321,7748,-34.81
5%,unbegrenzt,27036.62,170.37,4321,7748,-34.81
3%,8,13285.25,32.85,1887,10182,-10.16
3%,15,16464.88,64.65,3402,8667,-16.04
3%,20,19463.75,94.64,4407,7662,-21.72
3%,unbegrenzt,26223.66,162.24,6641,5428,-34.25
2%,8,12118.32,21.18,1887,10182,-6.81
2%,15,14045.8,40.46,3402,8667,-10.78
2%,20,15790.18,57.9,4407,7662,-14.64
2%,unbegrenzt,24559.08,145.59,8915,3154,-29.91
