allocation_pct,limit,final_capital,total_return_pct,trades_ausgefuehrt,trades_uebersprungen,max_drawdown_pct
10%,8,16337.68,63.38,575,3057,-12.01
10%,15,19116.4,91.16,686,2946,-16.7
10%,20,19116.4,91.16,686,2946,-16.7
10%,unbegrenzt,19116.4,91.16,686,2946,-16.7
5%,8,12879.34,28.79,575,3057,-6.12
5%,15,16264.37,62.64,1050,2582,-10.42
5%,20,16895.87,68.96,1341,2291,-13.64
5%,unbegrenzt,16895.87,68.96,1341,2291,-13.64
3%,8,11660.89,16.61,575,3057,-3.7
3%,15,13447.52,34.48,1050,2582,-6.33
3%,20,13986.87,39.87,1366,2266,-7.99
3%,unbegrenzt,16489.48,64.89,2087,1545,-14.95
2%,8,11085.46,10.85,575,3057,-2.48
2%,15,12201.09,22.01,1050,2582,-4.25
2%,20,12533.65,25.34,1366,2266,-5.37
2%,unbegrenzt,17312.23,73.12,2817,815,-13.25
