donchian_period,stop_mode,num_trades,num_symbols,win_rate,total_return_pct,avg_return_pct,avg_holding_days,max_drawdown_pct,robustness_score
10,kein Stop,12069,147,55.2,8336.55,0.69,14.5,-163.7,0.463
10,5.0,13714,147,49.2,7688.86,0.56,11.9,-160.71,0.408
40,kein Stop,4870,147,56.9,4188.81,0.86,14.5,-151.46,0.396
10,8.0,12778,147,53.3,7627.21,0.6,13.4,-171.96,0.394
20,kein Stop,7821,147,55.5,5061.18,0.65,14.5,-154.75,0.371
40,5.0,5686,147,48.5,3632.89,0.64,11.4,-138.67,0.348
40,8.0,5253,147,53.2,3230.67,0.62,13.0,-154.57,0.291
20,5.0,8978,147,48.6,4490.14,0.5,11.7,-166.21,0.285
20,8.0,8341,147,52.8,4089.17,0.49,13.2,-178.6,0.251
10,structural,17809,147,27.3,5003.1,0.28,6.9,-180.64,0.207
40,structural,7158,147,29.0,2610.67,0.36,7.1,-173.67,0.175
20,structural,11544,147,27.3,2654.1,0.23,7.0,-184.8,0.134
