allokation,limit,rendite_gesamt_pct,max_dd_gesamt_pct,rendite_oos_pct,max_dd_oos_pct,rendite_2022_pct,max_dd_2022_pct,trades_ausgefuehrt_gesamt
10%,15,224.41,-23.97,93.18,-12.53,-12.94,-23.97,1454
10%,20,224.41,-23.97,93.18,-12.53,-12.94,-23.97,1454
10%,unbegrenzt,224.41,-23.97,93.18,-12.53,-12.94,-23.97,1454
10%,8,142.06,-22.39,74.54,-10.53,-13.14,-22.39,1236
5%,unbegrenzt,157.47,-15.71,55.75,-10.13,-10.03,-15.71,2602
5%,20,157.47,-15.71,55.75,-10.13,-10.03,-15.71,2602
5%,15,106.98,-15.41,45.21,-9.0,-8.54,-15.26,2120
3%,unbegrenzt,99.73,-10.22,39.06,-6.65,-5.61,-9.77,3605
5%,8,58.8,-11.73,33.27,-5.38,-6.52,-11.73,1236
3%,20,78.3,-9.85,32.27,-6.42,-5.5,-9.85,2624
2%,unbegrenzt,75.36,-7.1,32.09,-4.48,-0.8,-4.95,4249
3%,15,56.53,-9.45,25.66,-5.49,-5.04,-9.36,2120
2%,20,47.85,-6.64,20.76,-4.32,-3.62,-6.64,2624
3%,8,32.64,-7.17,19.06,-3.26,-3.9,-7.17,1236
2%,15,35.34,-6.36,16.63,-3.69,-3.32,-6.31,2120
2%,8,20.92,-4.82,12.42,-2.18,-2.59,-4.82,1236
