time,symbol,pnl_pct,allocation,capital_after
2016-09-19,JCI,-8.3,1000.0,9917.0
2016-09-23,SPGI,0.54,1000.0,9922.4
2016-09-23,PNC,-0.94,1000.0,9913.0
2016-09-23,COF,-0.02,1000.0,9912.8
2016-09-23,ICE,-2.9,1000.0,9883.8
2016-09-23,INTC,2.95,1000.0,9913.3
2016-09-23,MA,3.84,1000.0,9951.7
2016-09-23,ADP,-2.1,1000.0,9930.7
2016-09-26,EQIX,-2.74,1000.0,9903.3
2016-09-26,PM,-1.88,1000.0,9884.5
2016-10-06,REGN,-8.3,988.45,9802.46
2016-10-07,TSLA,-8.3,988.45,9720.42
2016-10-11,MU,-8.3,988.45,9638.38
2016-10-17,PANW,-8.3,988.45,9556.33
2016-10-19,CAT,1.33,988.45,9569.48
2016-10-19,PG,-3.94,988.45,9530.54
2016-10-21,SCHW,1.92,988.45,9549.51
2016-10-21,LRCX,2.76,988.45,9576.8
2016-10-21,DE,0.97,988.45,9586.38
2016-10-24,NFLX,23.77,988.45,9821.34
2016-10-28,MRK,-8.3,972.04,9740.66
2016-11-01,AAPL,-4.44,963.84,9697.86
2016-11-03,MPC,-8.3,958.64,9618.3
2016-11-03,META,-8.3,958.64,9538.73
2016-11-08,GOOGL,-1.46,955.63,9524.78
2016-11-10,PNC,13.29,953.05,9651.44
2016-11-10,APH,-0.24,953.05,9649.15
2016-11-11,MS,15.49,958.64,9797.64
2016-11-14,AVGO,-7.53,982.13,9723.69
2016-11-14,MO,-6.09,982.13,9663.88
2016-11-21,DE,4.23,974.07,9705.08
2016-11-22,JCI,9.37,969.79,9795.95
2016-11-29,BMY,6.81,953.87,9860.91
2016-11-30,PWR,15.98,952.48,10013.11
2016-12-02,STX,7.16,964.92,10082.2
2016-12-02,TJX,1.97,964.92,10101.21
2016-12-06,ANET,6.57,966.39,10164.7
2016-12-06,MCD,1.67,966.39,10180.84
2016-12-06,ADI,7.14,966.39,10249.84
2016-12-07,LRCX,5.07,966.39,10298.84
2016-12-13,COP,13.25,970.51,10427.43
2016-12-14,INTC,2.72,979.59,10454.07
2016-12-20,CB,3.4,986.09,10487.6
2016-12-29,MMM,1.04,1029.88,10498.31
2016-12-29,WDC,-0.63,1029.88,10491.82
2016-12-29,TT,-3.42,1029.88,10456.6
2016-12-30,BLK,-2.81,1029.88,10427.66
2016-12-30,PGR,3.96,1029.88,10468.45
2017-01-03,KO,-0.78,1029.88,10460.41
2017-01-03,MCK,0.51,1029.88,10465.67
2017-01-05,MCD,-2.73,1042.74,10437.2
2017-01-06,BMY,2.86,1045.41,10467.1
2017-01-12,CMCSA,0.67,1048.76,10474.12
2017-01-13,MPC,-8.3,1046.57,10387.26
2017-01-17,ANET,-8.3,1046.57,10300.39
2017-01-23,NEM,1.43,1045.66,10315.35
2017-01-26,NFLX,7.08,1046.57,10389.44
2017-01-26,CRM,6.77,1046.57,10460.3
2017-01-26,HCA,3.78,1046.57,10499.86
2017-01-26,DE,1.41,1046.57,10514.61
2017-01-30,GS,-4.79,1046.71,10464.48
2017-02-03,ELV,7.05,1047.41,10538.32
2017-02-06,KLAC,6.53,1038.73,10606.15
2017-02-07,PM,9.74,1030.04,10706.47
2017-02-13,HD,1.0,1031.53,10716.79
2017-02-17,NVDA,-4.36,1051.46,10670.94
2017-02-22,DUK,2.52,1046.45,10697.32
2017-02-23,AAPL,6.2,1046.45,10762.19
2017-02-24,COST,5.58,1046.45,10820.59
2017-02-27,MCD,2.67,1053.83,10848.72
2017-02-27,NEM,-8.3,1060.61,10760.69
2017-02-27,AXP,2.43,1053.83,10786.3
2017-03-02,KKR,-0.95,1070.65,10776.13
2017-03-03,WM,3.37,1070.65,10812.21
2017-03-07,REGN,-1.14,1071.68,10799.99
2017-03-14,WELL,-1.63,1067.09,10782.6
2017-03-15,META,2.34,1069.73,10807.63
2017-03-16,VZ,-0.84,1076.22,10798.59
2017-03-20,PLD,0.4,1078.63,10802.91
2017-03-21,STX,-8.3,1078.63,10713.38
2017-03-21,VRTX,-1.54,1078.63,10696.77
2017-03-22,UNP,-5.79,1078.63,10634.32
2017-03-24,WMB,-2.54,1081.22,10606.85
2017-03-30,REGN,-1.32,1080.0,10592.6
2017-03-31,GOOG,-1.92,1080.0,10571.86
2017-04-04,DIS,0.35,1078.26,10575.63
2017-04-05,NFLX,-1.42,1080.76,10560.29
2017-04-06,ORCL,-3.69,1079.86,10520.44
2017-04-11,MAR,2.28,1069.68,10544.83
2017-04-12,ACN,-7.97,1063.43,10460.07
2017-04-17,TMUS,0.9,1060.69,10469.62
2017-04-18,TSLA,10.81,1060.69,10584.28
2017-04-21,WMT,4.38,1059.26,10630.68
2017-04-24,WMB,1.02,1057.19,10641.46
2017-04-25,NEM,-8.3,1054.48,10553.94
2017-04-26,LLY,-6.26,1057.56,10487.73
2017-04-27,MCD,7.72,1056.03,10569.26
2017-04-28,COST,4.11,1052.04,10612.5
2017-05-04,KO,1.38,1046.01,10626.93
2017-05-08,V,2.05,1046.96,10648.4
2017-05-09,UNH,2.46,1058.43,10674.43
2017-05-09,DIS,-2.16,1058.43,10651.57
2017-05-12,BA,2.07,1063.07,10673.58
2017-05-15,TMUS,-0.66,1064.15,10666.55
2017-05-17,GILD,-5.74,1048.77,10606.35
2017-05-18,BKNG,-2.47,1056.93,10580.25
2017-05-18,EQIX,3.31,1056.93,10615.23
2017-05-19,AMZN,3.47,1061.25,10652.06
2017-05-25,PANW,1.43,1062.69,10667.25
2017-05-30,KO,3.21,1064.84,10701.44
2017-05-31,MU,6.5,1065.16,10770.67
2017-06-01,NVDA,18.85,1065.16,10971.45
2017-06-05,DUK,3.58,1067.36,11009.66
2017-06-06,JNJ,3.41,1066.66,11046.04
2017-06-09,WMT,2.12,1061.52,11068.54
2017-06-12,ISRG,3.49,1065.21,11105.72
2017-06-12,PM,3.56,1065.21,11143.64
2017-06-12,BLK,6.71,1065.21,11215.11
2017-06-16,COST,-4.66,1066.73,11165.4
2017-06-19,NEM,-8.3,1104.6,11073.72
2017-06-20,TSLA,10.78,1070.14,11189.08
2017-06-21,VRTX,8.79,1077.07,11283.76
2017-06-22,TMO,0.16,1097.15,11285.51
2017-06-28,CME,5.86,1104.6,11350.24
2017-06-30,IBM,-0.48,1106.85,11344.93
2017-07-03,HCA,2.45,1121.51,11372.41
2017-07-05,WFC,2.14,1121.51,11396.41
2017-07-06,WELL,-2.14,1121.51,11372.41
2017-07-11,CSCO,-2.21,1107.37,11347.93
2017-07-12,GILD,6.12,1118.91,11416.41
2017-07-13,ISRG,-1.85,1128.38,11395.54
2017-07-13,ORCL,8.38,1128.38,11490.09
2017-07-17,MNST,-1.17,1128.55,11476.89
2017-07-19,CSX,-8.3,1139.64,11382.3
2017-07-20,JCI,2.57,1135.02,11411.47
2017-07-28,BKNG,5.2,1137.24,11470.61
2017-07-28,TMO,-1.16,1137.24,11457.41
2017-07-28,ADP,11.34,1137.24,11586.38
2017-08-01,FTNT,-5.65,1134.79,11522.26
2017-08-02,PANW,-8.3,1149.01,11426.89
2017-08-02,BX,-0.1,1141.64,11425.75
2017-08-03,PGR,5.03,1149.01,11483.55
2017-08-08,PLD,0.8,1147.69,11492.73
2017-08-11,COF,-5.7,1141.15,11427.68
2017-08-18,COP,-5.05,1158.64,11369.17
2017-08-21,BMY,-0.76,1158.64,11360.37
2017-08-21,VLO,-5.52,1158.64,11296.41
2017-08-22,SO,-0.31,1152.23,11292.84
2017-08-22,ICE,-2.95,1152.23,11258.85
2017-08-24,PFE,-0.9,1148.35,11248.51
2017-08-24,PWR,-3.91,1148.35,11203.61
2017-09-05,INTU,1.61,1142.77,11222.01
2017-09-05,DELL,10.12,1142.77,11337.66
2017-09-13,DHR,5.42,1125.88,11398.68
2017-09-13,UNP,2.6,1125.88,11427.95
2017-09-13,WM,2.39,1125.88,11454.86
2017-09-13,CAT,2.99,1125.88,11488.53
2017-09-13,FCX,-8.3,1125.88,11395.08
2017-09-18,ABBV,17.42,1120.36,11590.25
2017-09-18,MRVL,7.79,1120.36,11677.52
2017-09-25,TSLA,-8.3,1139.51,11582.94
2017-09-26,SO,-1.05,1133.77,11571.04
2017-09-27,PM,-5.31,1133.77,11510.83
2017-09-27,SLB,4.81,1133.77,11565.37
2017-10-04,C,6.43,1139.51,11638.64
2017-10-04,AMZN,-3.72,1139.51,11596.25
2017-10-05,BA,5.27,1139.51,11656.3
2017-10-05,JNJ,-1.04,1139.51,11644.45
2017-10-09,MS,4.05,1167.75,11691.74
2017-10-09,ANET,5.55,1167.75,11756.56
2017-10-16,MO,2.18,1158.29,11781.81
2017-10-18,GOOGL,5.2,1156.54,11841.95
2017-10-18,GOOG,4.82,1156.54,11897.69
2017-10-20,CDNS,6.82,1156.54,11976.57
2017-10-26,FCX,-0.71,1164.45,11968.3
2017-10-26,DELL,4.67,1164.45,12022.68
2017-10-26,BKNG,1.25,1164.45,12037.23
2017-10-26,NFLX,0.12,1164.45,12038.63
2017-10-31,IBM,3.44,1175.66,12079.07
2017-10-31,WMT,3.48,1175.66,12119.99
2017-11-06,CVX,-2.87,1178.18,12086.17
2017-11-09,DHR,2.9,1189.77,12120.68
2017-11-09,BX,-3.69,1189.77,12076.77
2017-11-10,BA,-1.24,1197.66,12061.92
2017-11-16,DE,1.57,1203.86,12080.82
2017-11-16,HD,-0.39,1203.86,12076.13
2017-11-16,MDT,-1.77,1203.86,12054.82
2017-11-16,WDC,1.75,1203.86,12075.89
2017-11-21,MU,11.19,1212.0,12211.51
2017-11-21,VLO,6.83,1212.0,12294.29
2017-11-28,SBUX,0.39,1208.62,12299.0
2017-11-29,NVDA,-8.3,1206.19,12198.89
2017-11-29,AMAT,-8.3,1207.59,12098.66
2017-11-29,LRCX,-8.3,1207.59,11998.43
2017-12-04,APH,-0.02,1206.19,11998.19
2017-12-04,NOW,-8.3,1207.59,11897.96
2017-12-08,CSCO,4.52,1207.59,11952.54
2017-12-13,SCHW,8.92,1229.43,12062.21
2017-12-13,LMT,0.6,1229.43,12069.58
2017-12-13,DE,8.84,1229.43,12178.27
2017-12-19,PFE,2.74,1229.9,12211.96
2017-12-20,PSX,5.82,1199.84,12281.8
2017-12-20,UNP,9.25,1199.84,12392.78
2017-12-26,SBUX,-3.06,1189.8,12356.37
2017-12-26,PM,0.22,1189.8,12358.99
2018-01-02,ORCL,-8.3,1195.25,12259.78
2018-01-05,HWM,17.29,1217.83,12470.35
2018-01-08,TXN,9.07,1217.83,12580.8
2018-01-09,INTU,3.2,1217.83,12619.77
2018-01-09,MAR,5.78,1217.83,12690.16
2018-01-12,COP,10.39,1239.28,12818.93
2018-01-16,BX,6.14,1239.28,12895.02
2018-01-19,GE,-8.3,1225.98,12793.26
2018-01-22,NFLX,17.79,1235.9,13013.13
2018-01-23,ETN,7.43,1235.9,13104.95
2018-01-29,PANW,2.15,1247.03,13131.77
2018-01-29,ELV,9.38,1247.03,13248.74
2018-01-30,CME,0.75,1258.08,13258.17
2018-01-31,MNST,3.9,1269.02,13307.66
2018-01-31,JNJ,-4.43,1269.02,13251.45
2018-02-05,LLY,-8.3,1324.87,13141.48
2018-02-05,MCK,-8.3,1281.89,13035.09
2018-02-06,KO,-4.3,1289.5,12979.64
2018-02-06,T,-8.3,1325.14,12869.65
2018-02-09,GS,-8.3,1301.31,12761.64
2018-02-09,TJX,-4.42,1279.33,12705.1
2018-02-14,MRSH,-1.25,1310.5,12688.71
2018-03-20,MCK,-8.3,1268.87,12583.4
2018-03-28,SLB,-8.3,1268.87,12478.08
2018-04-02,HCA,-8.3,1268.87,12372.76
2018-04-02,CVX,-4.55,1268.87,12315.03
2018-04-12,COP,10.57,1258.34,12448.04
2018-04-12,VLO,5.02,1258.34,12511.21
2018-04-25,TJX,-1.06,1231.5,12498.15
2018-04-26,DUK,1.28,1231.5,12513.92
2018-04-26,XOM,6.07,1231.5,12588.67
2018-04-26,PSX,14.79,1231.5,12770.81
2018-05-01,FTNT,-1.17,1231.5,12756.4
2018-05-01,MPC,-8.3,1251.12,12652.56
2018-05-01,CVX,4.76,1231.5,12711.18
2018-05-07,CVS,-6.17,1251.12,12633.98
2018-05-07,COST,-1.08,1251.12,12620.47
2018-05-08,BKNG,-0.33,1251.12,12616.34
2018-05-16,ELV,-3.0,1249.82,12578.85
2018-05-17,TJX,1.54,1277.08,12598.51
2018-05-17,ABBV,7.79,1277.08,12698.0
2018-05-17,AMD,15.82,1277.08,12900.03
2018-05-22,JCI,-2.39,1271.12,12869.65
2018-05-23,ADP,5.68,1271.12,12941.85
2018-05-29,DIS,-3.02,1262.05,12903.74
2018-05-29,PANW,4.39,1262.05,12959.14
2018-05-30,ADBE,5.17,1261.63,13024.37
2018-06-04,GE,-8.3,1257.88,12919.96
2018-06-11,SYK,-2.05,1290.0,12893.52
2018-06-11,DELL,10.9,1290.0,13034.13
2018-06-12,MPC,-8.3,1302.44,12926.03
2018-06-14,NFLX,13.67,1294.19,13102.94
2018-06-20,KO,0.89,1302.44,13114.53
2018-06-20,CME,1.15,1302.44,13129.51
2018-06-22,BX,0.32,1302.44,13133.68
2018-06-22,ISRG,0.53,1302.44,13140.58
2018-06-22,CDNS,1.23,1302.44,13156.6
2018-07-02,KKR,11.18,1303.41,13302.32
2018-07-02,HCA,-3.35,1303.41,13258.66
