allocation_pct,limit,final_capital,total_return_pct,trades_ausgefuehrt,trades_uebersprungen,max_drawdown_pct
10%,8,24205.85,142.06,1236,3274,-22.39
10%,15,32441.42,224.41,1454,3056,-23.97
10%,20,32441.42,224.41,1454,3056,-23.97
10%,unbegrenzt,32441.42,224.41,1454,3056,-23.97
5%,8,15879.75,58.8,1236,3274,-11.73
5%,15,20697.7,106.98,2120,2390,-15.41
5%,20,25746.81,157.47,2602,1908,-15.71
5%,unbegrenzt,25746.81,157.47,2602,1908,-15.71
3%,8,13263.92,32.64,1236,3274,-7.17
3%,15,15652.71,56.53,2120,2390,-9.45
3%,20,17830.24,78.3,2624,1886,-9.85
3%,unbegrenzt,19973.0,99.73,3605,905,-10.22
2%,8,12092.28,20.92,1236,3274,-4.82
2%,15,13533.97,35.34,2120,2390,-6.36
2%,20,14785.18,47.85,2624,1886,-6.64
2%,unbegrenzt,17535.72,75.36,4249,261,-7.1
