allocation_pct,limit,final_capital,total_return_pct,trades_ausgefuehrt,trades_uebersprungen,max_drawdown_pct
10%,8,17454.46,74.54,385,949,-10.53
10%,15,19318.46,93.18,452,882,-12.53
10%,20,19318.46,93.18,452,882,-12.53
10%,unbegrenzt,19318.46,93.18,452,882,-12.53
5%,8,13326.98,33.27,385,949,-5.38
5%,15,14521.33,45.21,654,680,-9.0
5%,20,15574.76,55.75,797,537,-10.13
5%,unbegrenzt,15574.76,55.75,797,537,-10.13
3%,8,11906.37,19.06,385,949,-3.26
3%,15,12565.78,25.66,654,680,-5.49
3%,20,13227.15,32.27,801,533,-6.42
3%,unbegrenzt,13905.54,39.06,1107,227,-6.65
2%,8,11241.86,12.42,385,949,-2.18
2%,15,11662.81,16.63,654,680,-3.69
2%,20,12075.96,20.76,801,533,-4.32
2%,unbegrenzt,13209.35,32.09,1282,52,-4.48
